UnixTime(ms),ViewIndex,Eye,EyePosX,EyePosY,EyePosZ,EyeOrientX,EyeOrientY,EyeOrientZ,EyeOrientW
1755649480800,0,left,1.09928691,-0.06319329,-2.34942484,0.05778969,0.98589639,0.04311425,0.15102922
1755649480800,1,right,1.03468907,-0.05453852,-2.36938381,0.05778969,0.98589639,0.04311425,0.15102922
1755649480834,0,left,1.09937048,-0.06327996,-2.34962201,0.05629451,0.98572913,0.04481204,0.15218700
1755649480834,1,right,1.03479719,-0.05478540,-2.36972880,0.05629451,0.98572913,0.04481204,0.15218700
1755649480855,0,left,1.09940529,-0.06349698,-2.34958005,0.05688976,0.98580687,0.04419512,0.15164158
1755649480855,1,right,1.03481865,-0.05493792,-2.36961627,0.05688976,0.98580687,0.04419512,0.15164158
1755649480877,0,left,1.09954858,-0.06359044,-2.34935927,0.05724875,0.98585296,0.04408241,0.15123909
1755649480877,1,right,1.03495097,-0.05498752,-2.36934114,0.05724875,0.98585296,0.04408241,0.15123909
1755649480910,0,left,1.09964383,-0.06364398,-2.34926724,0.05785798,0.98571923,0.04426519,0.15182437
1755649480910,1,right,1.03507984,-0.05495294,-2.36932015,0.05785798,0.98571923,0.04426519,0.15182437
1755649480922,0,left,1.09971607,-0.06378915,-2.34918785,0.05858464,0.98571677,0.04420853,0.15157799
1755649480922,1,right,1.03515351,-0.05500314,-2.36920357,0.05858464,0.98571677,0.04420853,0.15157799
1755649480955,0,left,1.09983861,-0.06388485,-2.34910941,0.05846758,0.98572898,0.04472850,0.15139118
1755649480955,1,right,1.03526652,-0.05510486,-2.36909699,0.05846758,0.98572898,0.04472850,0.15139118
1755649480966,0,left,1.09990418,-0.06394873,-2.34906626,0.05877254,0.98571175,0.04482708,0.15135609
1755649480966,1,right,1.03533542,-0.05512609,-2.36904573,0.05877254,0.98571175,0.04482708,0.15135609
1755649480988,0,left,1.09992802,-0.06396969,-2.34894896,0.05911920,0.98560318,0.04526146,0.15179817
1755649480988,1,right,1.03538311,-0.05508964,-2.36897993,0.05911920,0.98560318,0.04526146,0.15179817
1755649480999,0,left,1.09991300,-0.06399824,-2.34883451,0.05910696,0.98555629,0.04523677,0.15211441
1755649480999,1,right,1.03538096,-0.05511878,-2.36890745,0.05910696,0.98555629,0.04523677,0.15211441
1755649481011,0,left,1.09990370,-0.06403444,-2.34871936,0.05887989,0.98552900,0.04557323,0.15227880
1755649481011,1,right,1.03537500,-0.05517771,-2.36881280,0.05887989,0.98552900,0.04557323,0.15227880
1755649481034,0,left,1.09991979,-0.06409032,-2.34860730,0.05856426,0.98551016,0.04596284,0.15240527
1755649481034,1,right,1.03539133,-0.05526726,-2.36871600,0.05856426,0.98551016,0.04596284,0.15240527
1755649481066,0,left,1.09999454,-0.06424887,-2.34849048,0.05855325,0.98548198,0.04660375,0.15239712
1755649481066,1,right,1.03546536,-0.05541425,-2.36859250,0.05855325,0.98548198,0.04660375,0.15239712
1755649481089,0,left,1.09975731,-0.06448244,-2.34779596,0.05824904,0.98531003,0.04801271,0.15318609
1755649481089,1,right,1.03525627,-0.05565561,-2.36799097,0.05824904,0.98531003,0.04801271,0.15318609
1755649481112,0,left,1.09977067,-0.06471001,-2.34754395,0.05711046,0.98527255,0.05025266,0.15313739
1755649481112,1,right,1.03524959,-0.05598999,-2.36772180,0.05711046,0.98527255,0.05025266,0.15313739
1755649481133,0,left,1.09979177,-0.06502053,-2.34732175,0.05505294,0.98526579,0.05250753,0.15317785
1755649481133,1,right,1.03524089,-0.05652955,-2.36750197,0.05505294,0.98526579,0.05250753,0.15317785
1755649481144,0,left,1.09978008,-0.06525645,-2.34714532,0.05365861,0.98519214,0.05454905,0.15343271
1755649481144,1,right,1.03521919,-0.05690876,-2.36735320,0.05365861,0.98519214,0.05454905,0.15343271
1755649481156,0,left,1.09981155,-0.06569678,-2.34698915,0.05196144,0.98515856,0.05659352,0.15349203
1755649481156,1,right,1.03522873,-0.05753404,-2.36720276,0.05196144,0.98515856,0.05659352,0.15349203
1755649481178,0,left,1.09976983,-0.06600682,-2.34685183,0.05126870,0.98514850,0.05790034,0.15330201
1755649481178,1,right,1.03516936,-0.05791135,-2.36703587,0.05126870,0.98514850,0.05790034,0.15330201
1755649481188,0,left,1.09982276,-0.06616173,-2.34661531,0.05067665,0.98524621,0.05830049,0.15271817
1755649481188,1,right,1.03518987,-0.05814137,-2.36672449,0.05067665,0.98524621,0.05830049,0.15271817
1755649481200,0,left,1.09986770,-0.06635155,-2.34642839,0.05121117,0.98535383,0.05823585,0.15186778
1755649481200,1,right,1.03520692,-0.05826674,-2.36642218,0.05121117,0.98535383,0.05823585,0.15186778
1755649481211,0,left,1.10005009,-0.06643517,-2.34628224,0.05214602,0.98541793,0.05807804,0.15119274
1755649481211,1,right,1.03537452,-0.05823295,-2.36618018,0.05214602,0.98541793,0.05807804,0.15119274
1755649481222,0,left,1.10015249,-0.06653073,-2.34613228,0.05297930,0.98546568,0.05773286,0.15072328
1755649481222,1,right,1.03546953,-0.05822704,-2.36596394,0.05297930,0.98546568,0.05773286,0.15072328
1755649481234,0,left,1.10022771,-0.06664214,-2.34583473,0.05349987,0.98552816,0.05712507,0.15036201
1755649481234,1,right,1.03553736,-0.05828335,-2.36561966,0.05349987,0.98552816,0.05712507,0.15036201
1755649481244,0,left,1.10038102,-0.06666366,-2.34561396,0.05372705,0.98568339,0.05662194,0.14945107
1755649481244,1,right,1.03565681,-0.05829056,-2.36528158,0.05372705,0.98568339,0.05662194,0.14945107
1755649481255,0,left,1.10053623,-0.06667180,-2.34540439,0.05404366,0.98584263,0.05641142,0.14836224
1755649481255,1,right,1.03577244,-0.05826764,-2.36492801,0.05404366,0.98584263,0.05641142,0.14836224
1755649481267,0,left,1.10069084,-0.06653421,-2.34524965,0.05426511,0.98599294,0.05659650,0.14720753
1755649481267,1,right,1.03588390,-0.05810435,-2.36461782,0.05426511,0.98599294,0.05659650,0.14720753
1755649481277,0,left,1.10087752,-0.06640017,-2.34507442,0.05459041,0.98613007,0.05633820,0.14626479
1755649481277,1,right,1.03603768,-0.05793798,-2.36431813,0.05459041,0.98613007,0.05633820,0.14626479
1755649481289,0,left,1.10100782,-0.06634257,-2.34484363,0.05518027,0.98623870,0.05575414,0.14553298
1755649481289,1,right,1.03614771,-0.05781748,-2.36399102,0.05518027,0.98623870,0.05575414,0.14553298
1755649481300,0,left,1.10115921,-0.06630421,-2.34454370,0.05598397,0.98632538,0.05505703,0.14490259
1755649481300,1,right,1.03628624,-0.05768895,-2.36360717,0.05598397,0.98632538,0.05505703,0.14490259
1755649481310,0,left,1.10132277,-0.06634301,-2.34427261,0.05665605,0.98646040,0.05434596,0.14398783
1755649481310,1,right,1.03642404,-0.05765718,-2.36321640,0.05665605,0.98646040,0.05434596,0.14398783
1755649481323,0,left,1.10155105,-0.06638372,-2.34406471,0.05711699,0.98658344,0.05410205,0.14305151
1755649481323,1,right,1.03662300,-0.05764663,-2.36288357,0.05711699,0.98658344,0.05410205,0.14305151
1755649481333,0,left,1.10183489,-0.06647503,-2.34389877,0.05748672,0.98673213,0.05398673,0.14191693
1755649481333,1,right,1.03686845,-0.05769765,-2.36256599,0.05748672,0.98673213,0.05398673,0.14191693
1755649481344,0,left,1.10208189,-0.06648253,-2.34378266,0.05778769,0.98685904,0.05431459,0.14078260
1755649481344,1,right,1.03707635,-0.05766572,-2.36229491,0.05778769,0.98685904,0.05431459,0.14078260
1755649481355,0,left,1.10230684,-0.06638929,-2.34367490,0.05796680,0.98690378,0.05516571,0.14006257
1755649481355,1,right,1.03727675,-0.05753711,-2.36208320,0.05796680,0.98690378,0.05516571,0.14006257
1755649481367,0,left,1.10241282,-0.06641808,-2.34356189,0.05829558,0.98689092,0.05604017,0.13966903
1755649481367,1,right,1.03737295,-0.05750808,-2.36190724,0.05829558,0.98689092,0.05604017,0.13966903
1755649481378,0,left,1.10250282,-0.06663378,-2.34337759,0.05882379,0.98683856,0.05668873,0.13955577
1755649481378,1,right,1.03746700,-0.05764166,-2.36169767,0.05882379,0.98683856,0.05668873,0.13955577
1755649481389,0,left,1.10252976,-0.06692175,-2.34317827,0.05917352,0.98679560,0.05740567,0.13941851
1755649481389,1,right,1.03749442,-0.05787035,-2.36147070,0.05917352,0.98679560,0.05740567,0.13941851
1755649481424,0,left,1.10261750,-0.06721871,-2.34289813,0.05910335,0.98677027,0.05807403,0.13935079
1755649481424,1,right,1.03757835,-0.05816479,-2.36117578,0.05910335,0.98677027,0.05807403,0.13935079
1755649481457,0,left,1.10300302,-0.06832969,-2.34202147,0.05723455,0.98674677,0.06288076,0.13820647
1755649481457,1,right,1.03789091,-0.05944585,-2.36012220,0.05723455,0.98674677,0.06288076,0.13820647
1755649481467,0,left,1.10297132,-0.06971459,-2.34128475,0.05685547,0.98665770,0.06690033,0.13710723
1755649481467,1,right,1.03781199,-0.06081672,-2.35920811,0.05685547,0.98665770,0.06690033,0.13710723
