UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW
1761620191556,-0.00648546,1.62570748,0.02103519,-0.01142382,0.00272974,0.03882552,0.99917697
1761620191566,-0.00654411,1.62582255,0.02075100,-0.01113817,0.00235665,0.03917707,0.99916743
1761620191578,-0.00656509,1.62586509,0.02063370,-0.01112236,0.00211024,0.03933939,0.99916178
1761620191589,-0.00657845,1.62588341,0.02054882,-0.01111187,0.00190353,0.03952230,0.99915509
1761620191600,-0.00659943,1.62587964,0.02048397,-0.01120193,0.00162834,0.03974052,0.99914591
1761620191612,-0.00661755,1.62586359,0.02044487,-0.01136328,0.00142884,0.03979294,0.99914231
1761620191623,-0.00662518,1.62583773,0.02042198,-0.01151353,0.00119555,0.03999100,0.99913299
1761620191634,-0.00663900,1.62583195,0.02038860,-0.01154798,0.00097692,0.04019371,0.99912469
1761620191645,-0.00667667,1.62582548,0.02032661,-0.01123892,0.00079238,0.04038203,0.99912079
1761620191656,-0.00672722,1.62584283,0.02026558,-0.01093453,0.00070551,0.04049670,0.99911959
1761620191668,-0.00677299,1.62589005,0.02021217,-0.01053227,0.00056532,0.04060649,0.99911954
1761620191679,-0.00680065,1.62596289,0.02018642,-0.01035259,0.00044811,0.04070995,0.99911727
1761620191690,-0.00682354,1.62602302,0.02017879,-0.01008630,0.00035238,0.04078306,0.99911705
1761620191701,-0.00685787,1.62608537,0.02015877,-0.00988944,0.00026482,0.04079902,0.99911840
1761620191713,-0.00689411,1.62613445,0.02014923,-0.00971872,0.00024650,0.04077338,0.99912112
1761620191724,-0.00692749,1.62619931,0.02013016,-0.00949279,0.00022745,0.04068694,0.99912682
1761620191735,-0.00701427,1.62627846,0.02007484,-0.00914438,0.00015098,0.04069544,0.99912974
1761620191746,-0.00714016,1.62637560,0.01999664,-0.00884099,0.00010112,0.04052815,0.99913928
1761620191758,-0.00728035,1.62648293,0.01990414,-0.00855919,0.00004545,0.04034728,0.99914906
1761620191769,-0.00736904,1.62657798,0.01985264,-0.00832279,0.00008324,0.04029184,0.99915329
1761620191780,-0.00743484,1.62664301,0.01982307,-0.00821977,0.00009176,0.04024483,0.99915603
1761620191791,-0.00751352,1.62665804,0.01981449,-0.00830675,0.00010872,0.04025714,0.99915482
1761620191803,-0.00759888,1.62665379,0.01983738,-0.00839262,0.00022450,0.04030573,0.99915212
1761620191814,-0.00770283,1.62667391,0.01985741,-0.00852244,0.00038508,0.04043741,0.99914565
1761620191825,-0.00782251,1.62672644,0.01988983,-0.00842331,0.00074491,0.04055057,0.99914170
1761620191836,-0.00800896,1.62680984,0.01993942,-0.00806152,0.00111833,0.04062557,0.99914129
1761620191848,-0.00821400,1.62691570,0.02000523,-0.00774568,0.00164166,0.04073204,0.99913873
1761620191859,-0.00843143,1.62700674,0.02007484,-0.00741413,0.00215122,0.04088422,0.99913407
1761620191870,-0.00860786,1.62708589,0.02014828,-0.00728439,0.00269806,0.04106852,0.99912614
1761620191881,-0.00877237,1.62714606,0.02023697,-0.00718021,0.00328895,0.04122405,0.99911871
1761620191892,-0.00892735,1.62719840,0.02034187,-0.00708931,0.00393668,0.04144087,0.99910805
1761620191903,-0.00908566,1.62723293,0.02045345,-0.00688473,0.00454387,0.04148837,0.99910493
1761620191915,-0.00923967,1.62726895,0.02057362,-0.00678915,0.00515088,0.04152610,0.99910108
