UnixTime(ms),Ax,Ay,Az,Gx,Gy,Gz,QuatW,QuatX,QuatY,QuatZ
1757984150465,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99524873,0.08789048,-0.00039227,0.04189351
1757984150473,0.02638905,-1.02738845,3.50065892,0.05822874,-0.02964254,0.04153082,0.99522004,0.08813213,-0.00051528,0.04206586
1757984150474,5.91542211,-19.46905705,40.99280012,-0.02761547,-0.06096866,0.14734264,0.99521755,0.08811418,-0.00055491,0.04216163
1757984150485,-0.60610163,2.62502117,-6.55151085,-0.00161128,-0.01717360,0.02333974,0.99521292,0.08810548,-0.00064765,0.04228767
1757984150497,-0.10681930,0.50324543,-0.05052811,0.00140777,-0.01291736,0.00446676,0.99521106,0.08811357,-0.00072192,0.04231335
1757984150508,0.04661077,-0.02048190,-0.06572192,-0.01370550,-0.01177701,0.02246051,0.99521251,0.08803340,-0.00079082,0.04244475
1757984150520,-0.02146393,-0.04111176,-0.13834386,-0.01639156,-0.01879821,0.01396211,0.99521745,0.08793669,-0.00090173,0.04252712
1757984150540,-0.01302001,0.01924286,-0.18719223,-0.01612309,-0.00439022,0.00723911,0.99522849,0.08777626,-0.00094541,0.04259915
1757984150542,0.91962254,1.56181172,32.24575712,-0.05074679,-0.06633812,0.14660929,0.99522699,0.08773566,-0.00099848,0.04271644
1757984150553,0.08416233,-0.28170501,-4.05706704,0.00982726,-0.00657450,0.00939104,0.99521959,0.08779266,-0.00103661,0.04277091
1757984150574,0.05424096,-0.07945141,-0.07930303,0.00480222,-0.00790538,-0.00218470,0.99521601,0.08784333,-0.00112002,0.04274786
1757984150576,22.99479085,-12.31182996,46.10632534,-0.06109371,-0.02233520,0.04346224,0.99521916,0.08778834,-0.00114012,0.04278697
1757984150586,-4.13468418,2.18148704,-8.06456363,-0.01239337,-0.01779912,0.02732938,0.99521866,0.08772885,-0.00122555,0.04291815
1757984150597,-0.34320484,0.24659069,-0.39901540,-0.00608588,-0.01482535,0.01660830,0.99521752,0.08769416,-0.00131006,0.04301282
1757984150609,0.04407482,0.14133569,-0.11238420,0.00794379,0.00030946,0.01393402,0.99520990,0.08774064,-0.00130825,0.04309434
1757984150620,0.03507357,0.03767261,-0.13818914,0.05904240,0.00446495,0.02443246,0.99517542,0.08806537,-0.00128369,0.04322871
1757984150641,-0.07755386,-0.01523599,-0.13653627,0.00419048,-0.00452668,-0.00675527,0.99517455,0.08810916,-0.00133099,0.04315812
1757984150642,5.19637321,-3.40778549,20.87845087,0.00289989,0.00297149,-0.23475539,0.99518297,0.08811162,-0.00132847,0.04295858
1757984150653,-0.47469290,0.22748810,-2.84902668,-0.03210038,0.00729212,-0.02519814,0.99520461,0.08793507,-0.00128836,0.04281999
1757984150674,-0.01896330,0.04934651,-0.14156960,-0.01904744,0.00018161,0.00105127,0.99522105,0.08774364,-0.00128654,0.04283056
1757984150675,26.82824669,-7.41649832,26.83229976,-0.12305437,-0.00028040,0.02547811,0.99522934,0.08763905,-0.00128677,0.04285221
1757984150687,-3.76543876,1.12512715,-3.67339058,-0.01374817,0.01230709,0.01431214,0.99523284,0.08756000,-0.00121601,0.04293451
1757984150724,-0.14391833,0.02788497,-0.15418512,-0.00274447,-0.00286474,0.00469989,0.99523348,0.08750936,-0.00126886,0.04302122
1757984150758,0.08916007,-0.02651606,0.11825359,-0.00908506,-0.01709614,-0.00337469,0.99524916,0.08735446,-0.00156035,0.04296368
1757984150789,0.09448472,-0.02616226,0.16315801,-0.01492235,-0.01013661,0.00525424,0.99526576,0.08712167,-0.00171848,0.04304565
1757984150809,0.17275671,0.08045845,0.19039586,0.04626790,0.02062292,0.00662259,0.99522132,0.08759823,-0.00150607,0.04311386
1757984150819,0.33071319,0.16644235,0.05307707,0.04612353,0.05592853,-0.04679786,0.99521149,0.08782885,-0.00122643,0.04287987
1757984150843,-0.35979188,-0.10873699,-0.43565086,-0.00488856,0.00859892,-0.03101615,0.99523231,0.08777141,-0.00112539,0.04251543
1757984150875,-0.02296966,0.01596142,-0.06205017,-0.00473795,0.01296635,-0.00691686,0.99524389,0.08769584,-0.00091857,0.04240511
1757984150876,90.71216563,4.03645779,61.24326386,0.21215095,0.12490155,-0.33924074,0.99524075,0.08785495,-0.00082490,0.04215068
1757984150920,-3.11239663,-0.12533034,-2.10555800,0.00961075,0.00276910,-0.01444819,0.99523553,0.08806591,-0.00076412,0.04183354
1757984150944,0.32683665,-0.01576888,0.23246767,0.01159369,-0.01602130,-0.02323209,0.99523475,0.08820155,-0.00095157,0.04156172
1757984150965,0.05245567,0.01987781,-0.02756905,0.01559603,0.00137836,-0.02003165,0.99522894,0.08836687,-0.00093696,0.04134939
1757984150975,0.68191762,-0.09793501,0.24404530,0.01889040,0.05356599,-0.05120105,0.99523139,0.08846227,-0.00066645,0.04109082
1757984151020,-0.38214361,0.00731081,-0.18530841,-0.00786859,0.00820897,-0.01043714,0.99525672,0.08828641,-0.00048298,0.04085755
1757984151031,1.69460803,-0.56658749,1.17684341,-0.04851377,0.06760737,-0.06870156,0.99529661,0.08801473,-0.00010438,0.04047282
1757984151066,-0.48744365,0.18278055,-0.33278219,-0.01069283,0.02247035,0.00174747,0.99531178,0.08782867,0.00028661,0.04050323
1757984151100,-0.08825804,0.08895691,-0.09955807,0.01895820,0.03138687,-0.00489314,0.99528607,0.08815475,0.00082646,0.04041907
1757984151134,0.04040434,-0.06546873,0.08642102,-0.02639643,0.03042188,-0.01022864,0.99533165,0.08771129,0.00133755,0.04024723
1757984151168,0.01587071,0.00772100,-0.03063190,0.03614287,0.04853055,-0.00095804,0.99527538,0.08833837,0.00217956,0.04023060
1757984151182,0.44053016,0.55936250,-0.58387310,0.07561170,0.09722203,-0.09587363,0.99525360,0.08886387,0.00285525,0.03956428
1757984151215,-0.21523876,-0.28303388,0.15895627,-0.02386012,0.03592202,-0.00085633,0.99528644,0.08848092,0.00343180,0.03955054
1757984151225,0.10498969,-0.74211336,-0.21622671,-0.06144335,0.02580540,0.02136563,0.99531058,0.08815220,0.00356986,0.03966484
1757984151252,-0.12433283,0.29738229,0.03583678,0.01306246,0.01120714,-0.01921249,0.99530465,0.08832985,0.00372227,0.03940355
1757984151274,-0.10812180,-0.02319727,-0.00822239,0.00973324,0.01006510,0.01119553,0.99528997,0.08843594,0.00383198,0.03952559
1757984151285,-0.04868972,-0.27016099,-0.11310401,0.00417446,0.04841750,0.02521288,0.99528167,0.08845806,0.00408860,0.03965921
1757984151295,0.13102837,-0.16244268,0.00000000,-0.01650871,0.03665970,0.02236821,0.99528389,0.08837057,0.00428289,0.03977777
1757984151311,0.02004909,0.12346121,0.08884725,-0.01649538,0.02412169,0.00462562,0.99529304,0.08824190,0.00447104,0.03981385
1757984151345,0.00162171,0.08212645,0.03706030,-0.00667846,0.01124336,0.00001483,0.99530216,0.08812904,0.00466105,0.03981410
1757984151346,-15.34615703,-16.96891084,-45.26668572,0.02558275,0.61278179,-0.30736896,0.99530773,0.08814950,0.00515128,0.03956820
1757984151369,1.13862713,1.29278695,3.13662793,0.00725744,0.01884545,-0.01355766,0.99530540,0.08823224,0.00536612,0.03941364
1757984151379,0.32776009,0.20994130,-0.21027538,0.02813547,0.04339687,-0.00583650,0.99529301,0.08837151,0.00558093,0.03938475
1757984151425,-0.08888749,-0.07174956,0.07801566,-0.00251772,0.00073213,0.00037009,0.99529773,0.08831348,0.00559781,0.03939328
1757984151457,-0.02148997,-0.08371225,-0.05385820,-0.01748064,0.00558311,0.00419461,0.99531954,0.08803116,0.00568797,0.03946103
1757984151489,-0.06663737,0.01434622,0.07682029,-0.03688765,0.00867863,0.02206439,0.99535613,0.08745018,0.00582466,0.03980854
1757984151499,-0.93629569,0.49542905,0.48642498,-0.08131806,0.07175261,0.09281846,0.99537195,0.08701513,0.00620854,0.04030512
1757984151543,0.23354670,-0.11567460,-0.09423241,-0.02877713,0.02698232,0.01114431,0.99541307,0.08638491,0.00679945,0.04054918
1757984151555,-1.01657198,-1.01598691,0.76368946,-0.22768886,0.08990768,0.00190033,0.99552077,0.08508709,0.00731193,0.04056001
1757984151588,0.32841991,0.27663469,-0.21244415,-0.03642301,0.00671304,0.01799432,0.99555957,0.08447700,0.00742437,0.04086142
1757984151610,0.01861325,0.03708721,0.06300965,0.00559788,-0.01204292,0.02398735,0.99554480,0.08453718,0.00729491,0.04111928
1757984151621,-0.14795057,-0.06830205,0.56444179,-0.03839262,0.01667397,0.05922490,0.99554873,0.08431450,0.00739162,0.04146279
1757984151643,0.08825725,0.08723022,-0.29594715,0.00120377,0.03296356,0.02623732,0.99553286,0.08432768,0.00775257,0.04175008
1757984151667,-0.00985143,0.14008222,-0.18682314,0.03385320,0.02642890,0.01563746,0.99548833,0.08473053,0.00806707,0.04193617
1757984151689,-0.00865768,0.05856249,-0.20377498,0.02178468,0.02436131,-0.02593985,0.99547778,0.08496799,0.00833261,0.04165343
1757984151723,0.03035329,-0.04000490,0.13862824,-0.03103707,0.02400006,-0.01482329,0.99552983,0.08443881,0.00874181,0.04140069
1757984151746,-0.19973695,-0.11649621,0.50209535,-0.04778801,0.07112056,0.04369918,0.99554753,0.08389641,0.00954903,0.04189667
1757984151782,0.14856842,0.04502725,-0.20229489,0.00891995,0.00525278,-0.00827231,0.99553926,0.08405831,0.00964437,0.04174653
1757984151812,-0.05403309,0.04111050,0.11961889,0.00513193,0.00866510,0.03391752,0.99550953,0.08413657,0.00977651,0.04226377
1757984151833,-0.08999667,-0.05517009,-0.10830339,-0.01616300,0.03301953,0.06536996,0.99549147,0.08397090,0.01011496,0.04293382
1757984151857,0.00655511,0.01274864,-0.25874079,0.02321533,0.02823898,0.01733679,0.99545574,0.08424716,0.01045100,0.04314012
1757984151889,0.04548562,-0.00454520,-0.08023461,0.01832108,0.02584096,-0.00196946,0.99542782,0.08454030,0.01086446,0.04310861
1757984151912,-0.06288768,-0.04906052,-0.10033991,0.00982583,0.03114586,0.03603581,0.99539538,0.08465624,0.01123198,0.04353383
1757984151946,0.01678187,-0.02532764,0.02713511,-0.01327998,0.02989170,0.02334996,0.99539136,0.08443580,0.01172818,0.04392144
1757984151967,-0.18879704,-0.32177952,-0.57351843,-0.08228699,0.04669044,0.05273865,0.99543478,0.08355121,0.01223011,0.04448838
1757984151990,0.17581716,0.14035205,0.45051302,-0.01962000,0.00458293,0.02931410,0.99543789,0.08332754,0.01228235,0.04482257
1757984152022,0.09734006,0.06223538,-0.00832063,-0.03135939,-0.00644574,0.01028929,0.99547361,0.08282579,0.01217922,0.04498719
1757984152034,0.27990043,-0.49547050,-1.00543499,-0.09368818,-0.04120595,0.01185812,0.99552192,0.08224024,0.01192168,0.04506131
1757984152067,-0.00416283,0.19319361,0.38443860,-0.02733601,-0.02234763,-0.00023973,0.99556285,0.08179740,0.01155965,0.04505742
1757984152079,0.13167310,-0.63819079,-0.84176210,-0.08371492,-0.05175325,0.01541376,0.99560302,0.08129929,0.01125172,0.04514914
1757984152113,-0.06677934,0.19668783,0.33445044,-0.02420688,-0.02309984,0.00012102,0.99564070,0.08088899,0.01086018,0.04515119
1757984152135,0.15920139,-0.11474594,-0.09251250,-0.07286544,-0.03260805,-0.02687786,0.99572344,0.08008018,0.01049823,0.04485284
1757984152145,0.52429754,-0.76525525,-1.08600397,-0.13869583,-0.04926455,0.02666078,0.99577656,0.07937283,0.01024698,0.04498881
1757984152167,-0.32620045,0.46847778,0.31062868,-0.03685573,0.00230832,0.00503224,0.99580576,0.07897111,0.01027214,0.04504366
1757984152189,-0.04594171,0.01520504,-0.12824685,-0.06651527,0.00611216,-0.01167400,0.99586947,0.07822946,0.01034029,0.04491350
1757984152201,0.18292742,-0.45045410,-0.31387760,-0.17164343,0.00703566,-0.06580471,0.99596389,0.07723393,0.01038110,0.04453183
1757984152235,-0.08352249,0.15472825,0.36549089,-0.06090387,-0.00418518,-0.00809035,0.99605254,0.07617420,0.01030827,0.04439106
1757984152246,1.44206049,-2.69242545,-3.46564511,-0.30776178,-0.01361761,-0.10960611,0.99620240,0.07454306,0.01023610,0.04381015
1757984152278,-0.33222669,0.80972068,0.96189350,-0.05660939,-0.03307645,-0.01023776,0.99628274,0.07363165,0.00970357,0.04364532
1757984152290,0.84627328,-0.06319987,-1.88732830,-0.13516440,-0.09213481,-0.01912784,0.99634913,0.07286122,0.00917840,0.04353629
1757984152312,-0.29566838,0.08089001,0.76230917,-0.06270462,-0.02694094,0.00728139,0.99640008,0.07214952,0.00887262,0.04361893
1757984152334,-0.11804186,0.05120672,0.27537943,-0.04652691,-0.01927578,-0.00742445,0.99644206,0.07164237,0.00866252,0.04353801
