UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW
1761621733056,-0.04568153,1.59662035,0.02108993,0.08753513,0.38796767,0.00226559,0.91750398
1761621733065,-0.04566949,1.59662139,0.02107718,0.08768198,0.38778495,0.00227804,0.91756717
1761621733076,-0.04565185,1.59662732,0.02106757,0.08789703,0.38758164,0.00222856,0.91763262
1761621733089,-0.04561660,1.59664459,0.02105926,0.08812341,0.38736663,0.00213250,0.91770192
1761621733099,-0.04558741,1.59666327,0.02106133,0.08827778,0.38721026,0.00218983,0.91775294
1761621733110,-0.04556236,1.59668040,0.02106529,0.08831996,0.38708168,0.00233785,0.91780275
1761621733124,-0.04554733,1.59668914,0.02106459,0.08808854,0.38698417,0.00252083,0.91786562
1761621733134,-0.04555026,1.59668159,0.02105292,0.08777093,0.38688494,0.00275106,0.91793722
1761621733142,-0.04555969,1.59666304,0.02102688,0.08755900,0.38671540,0.00291150,0.91802840
1761621733156,-0.04558146,1.59663399,0.02099486,0.08740911,0.38661339,0.00299694,0.91808537
1761621733165,-0.04560111,1.59660775,0.02096588,0.08739880,0.38655094,0.00312103,0.91811224
1761621733176,-0.04561684,1.59658616,0.02094159,0.08733901,0.38649827,0.00319566,0.91813985
1761621733187,-0.04563222,1.59656862,0.02092506,0.08736411,0.38645709,0.00336005,0.91815420
1761621733199,-0.04564430,1.59655704,0.02091648,0.08752528,0.38649053,0.00339252,0.91812466
1761621733211,-0.04565496,1.59655342,0.02092222,0.08760593,0.38653271,0.00348489,0.91809886
1761621733222,-0.04566591,1.59655516,0.02093912,0.08778298,0.38660563,0.00348405,0.91805125
1761621733234,-0.04567011,1.59656576,0.02096566,0.08809710,0.38669322,0.00344298,0.91798442
1761621733244,-0.04566336,1.59658434,0.02099489,0.08833911,0.38677969,0.00333108,0.91792515
1761621733255,-0.04565374,1.59660873,0.02103231,0.08839822,0.38679782,0.00323858,0.91791215
