UnixTime(ms),Ax,Ay,Az,Gx,Gy,Gz,QuatW,QuatX,QuatY,QuatZ
1759199191535,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.92935202,0.08417149,0.32244349,0.15890305
1759199191570,-0.03692047,0.03941373,-0.03777674,-0.01310497,-0.00093322,-0.00376215,0.92938904,0.08394609,0.32242744,0.15883834
1759199191601,0.12862267,-0.11374491,0.01647565,-0.01030800,-0.01383068,0.00078687,0.92947711,0.08378373,0.32220961,0.15885073
1759199191623,-0.08825757,0.04249069,0.14659113,0.00119868,-0.01598810,-0.00998678,0.92955564,0.08379692,0.32203374,0.15874088
1759199191657,-0.04137646,-0.00221259,0.00402955,0.01788777,0.00592172,0.00597671,0.92947711,0.08409654,0.32213293,0.15884099
1759199191668,0.01122363,-0.32249192,0.63677456,0.03774716,0.02032878,0.00864294,0.92940902,0.08431170,0.32224880,0.15889025
1759199191690,-0.04330130,0.25526746,-0.36765812,0.02205061,-0.00255327,-0.02475281,0.92944324,0.08455426,0.32222071,0.15861797
1759199191713,0.02511240,0.01287088,-0.04558109,0.00081251,0.00108923,0.00352613,0.92943128,0.08456348,0.32223308,0.15865800
1759199191724,-0.07201274,0.06500774,-0.02684841,0.00498027,0.00835855,0.01197105,0.92940134,0.08459112,0.32227947,0.15872443
1759199191735,0.08562635,-0.08538446,-0.01294070,0.00543842,0.00946739,0.00983234,0.92937104,0.08462130,0.32233201,0.15877900
1759199191747,0.02589119,-0.45773690,0.17073998,-0.02495742,-0.00403509,-0.00262140,0.92939493,0.08447655,0.32230861,0.15876380
1759199191757,0.08494984,-0.15482676,-0.04531710,-0.02647250,0.00726208,0.00203707,0.92939248,0.08433624,0.32234710,0.15877460
1759199191769,-0.04971467,0.14204810,0.01338705,-0.03695128,0.01457087,-0.01582711,0.92939816,0.08412562,0.32243015,0.15868438
1759199191780,-0.15236279,0.42887502,-0.24201881,-0.00582361,0.01632027,-0.01014893,0.92937979,0.08409417,0.32251828,0.15862958
1759199191801,0.03413082,0.02172459,0.04311622,-0.00083554,0.00684529,0.00214378,0.92935046,0.08408498,0.32259358,0.15865316
1759199191813,-0.18987692,0.17053551,-0.02520215,0.02766366,0.01771500,0.02418599,0.92927374,0.08425096,0.32269987,0.15879828
1759199191824,0.09188276,-0.09307843,-0.17534042,0.01582468,-0.00424517,0.01297532,0.92926186,0.08433721,0.32267673,0.15886899
1759199191834,0.17157572,-0.11922709,0.12945103,0.00166344,-0.00936183,-0.01134085,0.92928730,0.08434561,0.32262945,0.15881172
1759199191846,0.24726906,0.19623356,0.09355920,0.00311224,-0.01246827,-0.00644962,0.92931613,0.08436304,0.32255963,0.15877560
1759199191868,-0.03229824,-0.02003662,-0.00257934,-0.00427466,-0.00660172,-0.00032197,0.92934703,0.08431473,0.32248503,0.15877196
1759199191880,0.02590694,0.25218427,-0.10146887,0.00387428,-0.00736360,-0.01230074,0.92937135,0.08433662,0.32244343,0.15870246
1759199191890,-0.31021255,-0.51903035,-0.11529569,0.01257327,0.00322870,0.00693043,0.92935326,0.08440263,0.32246038,0.15873885
1759199191902,0.03214204,0.00890796,0.09958671,0.00544762,-0.00134404,-0.00573844,0.92935887,0.08443478,0.32245245,0.15870499
1759199191914,-0.00644915,0.00582849,0.04331330,-0.00085409,-0.00151791,-0.01536211,0.92937807,0.08442969,0.32244342,0.15861359
1759199191924,0.02365195,0.06008981,-0.09273953,-0.00451608,0.00624195,-0.01155861,0.92937917,0.08440689,0.32247494,0.15855522
