UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW
1761617715672,-0.08995962,1.63713336,0.14881325,0.05913588,0.27489930,0.04493230,0.95860023
1761617715682,-0.09019089,1.63714629,0.14852619,0.05902127,0.27500215,0.04490422,0.95857911
1761617715693,-0.09032774,1.63714719,0.14836121,0.05900419,0.27510300,0.04490147,0.95855136
1761617715704,-0.09045506,1.63714015,0.14822960,0.05901744,0.27517247,0.04496636,0.95852756
1761617715716,-0.09056664,1.63713342,0.14810848,0.05906363,0.27524841,0.04509421,0.95849690
1761617715727,-0.09068489,1.63714319,0.14799118,0.05913759,0.27529294,0.04517873,0.95847557
1761617715739,-0.09079885,1.63717359,0.14787769,0.05933891,0.27534983,0.04523464,0.95844415
1761617715750,-0.09090233,1.63720626,0.14776707,0.05961229,0.27543828,0.04526409,0.95840038
1761617715762,-0.09100771,1.63726544,0.14764977,0.05969872,0.27548358,0.04526629,0.95838188
1761617715773,-0.09110546,1.63734514,0.14752197,0.05985603,0.27555192,0.04521343,0.95835491
1761617715784,-0.09120369,1.63742542,0.14739323,0.06006580,0.27564304,0.04520191,0.95831613
1761617715795,-0.09130335,1.63749349,0.14727592,0.06020332,0.27576445,0.04512751,0.95827607
1761617715807,-0.09141159,1.63754326,0.14716816,0.06035699,0.27593631,0.04499893,0.95822298
1761617715818,-0.09152460,1.63760233,0.14706707,0.06054156,0.27604847,0.04488814,0.95818423
1761617715829,-0.09164572,1.63766265,0.14696693,0.06077621,0.27612837,0.04482501,0.95814931
1761617715840,-0.09176874,1.63771862,0.14686775,0.06100577,0.27631570,0.04475572,0.95808395
1761617715852,-0.09190178,1.63778168,0.14677811,0.06126735,0.27652305,0.04473089,0.95800859
1761617715863,-0.09204674,1.63784486,0.14669800,0.06157252,0.27688115,0.04469370,0.95788732
1761617715874,-0.09222460,1.63789815,0.14662647,0.06177451,0.27726752,0.04464329,0.95776490
1761617715885,-0.09241295,1.63793892,0.14656830,0.06190372,0.27771813,0.04457834,0.95762902
1761617715896,-0.09259701,1.63796788,0.14650440,0.06206445,0.27822304,0.04452884,0.95747435
1761617715908,-0.09277105,1.63799244,0.14645004,0.06209029,0.27871442,0.04449850,0.95733116
1761617715919,-0.09295034,1.63801014,0.14639187,0.06214032,0.27927597,0.04444367,0.95716680
1761617715930,-0.09313774,1.63803005,0.14633656,0.06221429,0.27981437,0.04440107,0.95700671
1761617715941,-0.09331942,1.63805711,0.14628410,0.06240524,0.28046181,0.04441549,0.95680407
1761617715952,-0.09351540,1.63810360,0.14622974,0.06262884,0.28109366,0.04442121,0.95660375
1761617715963,-0.09371185,1.63813919,0.14618111,0.06291669,0.28177458,0.04438745,0.95638608
1761617715975,-0.09389305,1.63816583,0.14615536,0.06303990,0.28240627,0.04444961,0.95618874
1761617715986,-0.09407997,1.63818282,0.14612293,0.06319275,0.28303870,0.04440141,0.95599387
1761617715997,-0.09425211,1.63820678,0.14610386,0.06329507,0.28366018,0.04443318,0.95580141
1761617716008,-0.09442139,1.63822985,0.14607811,0.06340227,0.28431902,0.04441150,0.95559953
1761617716019,-0.09458542,1.63824880,0.14605713,0.06349519,0.28490516,0.04438900,0.95541982
1761617716031,-0.09474325,1.63827586,0.14604282,0.06363013,0.28548807,0.04430113,0.95524090
1761617716042,-0.09489679,1.63830483,0.14602947,0.06383727,0.28604304,0.04421764,0.95506491
1761617716053,-0.09504318,1.63833863,0.14601898,0.06401941,0.28659303,0.04418683,0.95488925
1761617716064,-0.09517574,1.63836628,0.14602184,0.06416740,0.28713395,0.04414115,0.95471891
1761617716075,-0.09527445,1.63837761,0.14605141,0.06424491,0.28761894,0.04409219,0.95456996
1761617716086,-0.09535980,1.63836133,0.14608288,0.06436096,0.28808392,0.04406279,0.95442328
1761617716097,-0.09544039,1.63833958,0.14611149,0.06436973,0.28854203,0.04401929,0.95428630
1761617716109,-0.09553623,1.63831592,0.14612103,0.06447618,0.28891862,0.04400455,0.95416584
1761617716120,-0.09562016,1.63829190,0.14612770,0.06448397,0.28931136,0.04396013,0.95404835
1761617716131,-0.09569883,1.63827235,0.14614391,0.06453406,0.28963138,0.04379951,0.95395525
1761617716142,-0.09575701,1.63825983,0.14615726,0.06455642,0.28996452,0.04369479,0.95385733
1761617716153,-0.09581470,1.63825005,0.14617634,0.06457109,0.29018655,0.04359680,0.95379330
1761617716165,-0.09585762,1.63823754,0.14619923,0.06452087,0.29041695,0.04344567,0.95373347
1761617716175,-0.09590578,1.63822836,0.14621925,0.06450101,0.29060148,0.04334626,0.95368312
1761617716187,-0.09593534,1.63823134,0.14624786,0.06452111,0.29075913,0.04323661,0.95363869
1761617716198,-0.09596157,1.63823992,0.14628220,0.06452647,0.29083831,0.04318347,0.95361659
1761617716209,-0.09597063,1.63824469,0.14631748,0.06446367,0.29092355,0.04301417,0.95360249
1761617716220,-0.09596395,1.63823348,0.14636040,0.06437014,0.29091007,0.04300391,0.95361338
1761617716231,-0.09594345,1.63822889,0.14641953,0.06408028,0.29090697,0.04305855,0.95363138
1761617716242,-0.09591532,1.63822800,0.14649296,0.06382493,0.29090947,0.04310209,0.95364578
1761617716254,-0.09588432,1.63823140,0.14657593,0.06370086,0.29092542,0.04312618,0.95364812
1761617716265,-0.09583807,1.63823861,0.14667511,0.06362830,0.29088100,0.04316392,0.95366481
1761617716276,-0.09578180,1.63825983,0.14679241,0.06358569,0.29092188,0.04303169,0.95366115
1761617716287,-0.09573030,1.63828611,0.14692211,0.06366570,0.29097347,0.04283938,0.95364873
1761617716298,-0.09570885,1.63833529,0.14706707,0.06369095,0.29102601,0.04250822,0.95364583
1761617716312,-0.09569836,1.63840592,0.14723682,0.06380336,0.29118149,0.04227027,0.95360143
1761617716320,-0.09570742,1.63848341,0.14739799,0.06412888,0.29139160,0.04212134,0.95352200
1761617716331,-0.09572506,1.63855582,0.14757442,0.06443455,0.29171551,0.04194894,0.95340995
1761617716342,-0.09574366,1.63861430,0.14776134,0.06468661,0.29213060,0.04185913,0.95326972
1761617716354,-0.09577799,1.63867241,0.14795971,0.06490485,0.29252226,0.04174839,0.95313963
1761617716365,-0.09581470,1.63871348,0.14816952,0.06525925,0.29293030,0.04155568,0.95299853
1761617716376,-0.09585333,1.63875443,0.14839268,0.06553058,0.29333687,0.04127149,0.95286719
1761617716387,-0.09589911,1.63878930,0.14860725,0.06573692,0.29375227,0.04098238,0.95273748
1761617716398,-0.09595442,1.63881880,0.14880848,0.06594173,0.29412807,0.04067711,0.95262046
1761617716410,-0.09601164,1.63884526,0.14899540,0.06608151,0.29446717,0.04047350,0.95251468
1761617716421,-0.09605312,1.63886088,0.14918709,0.06618649,0.29477743,0.04027353,0.95241990
1761617716432,-0.09609365,1.63887209,0.14937305,0.06633825,0.29500366,0.04015556,0.95234427
1761617716443,-0.09611225,1.63889003,0.14956093,0.06650809,0.29527391,0.04007649,0.95225200
1761617716454,-0.09612322,1.63890529,0.14974499,0.06663196,0.29541878,0.03997593,0.95220263
1761617716465,-0.09609509,1.63892704,0.14993095,0.06661678,0.29548690,0.03989617,0.95218590
1761617716476,-0.09603834,1.63894761,0.15010738,0.06665867,0.29558087,0.03975867,0.95215956
1761617716488,-0.09597254,1.63896322,0.15029716,0.06664213,0.29558857,0.03962863,0.95216374
1761617716499,-0.09590960,1.63897586,0.15049648,0.06646374,0.29562093,0.03949871,0.95217156
1761617716510,-0.09585238,1.63898629,0.15070820,0.06632450,0.29560015,0.03933685,0.95219443
1761617716521,-0.09578991,1.63900292,0.15093231,0.06621963,0.29560941,0.03909862,0.95220866
1761617716532,-0.09573364,1.63902873,0.15115738,0.06615275,0.29554511,0.03881188,0.95224500
1761617716543,-0.09566736,1.63909233,0.15141106,0.06607431,0.29557146,0.03862442,0.95224989
1761617716555,-0.09560442,1.63913280,0.15164852,0.06614001,0.29555774,0.03838409,0.95225931
1761617716566,-0.09555960,1.63917291,0.15187740,0.06619431,0.29549565,0.03818908,0.95228264
1761617716577,-0.09550524,1.63922215,0.15210438,0.06626179,0.29544912,0.03798346,0.95230061
1761617716588,-0.09545755,1.63927424,0.15232849,0.06642762,0.29541559,0.03776587,0.95230811
1761617716599,-0.09541130,1.63932031,0.15257549,0.06657976,0.29535700,0.03760086,0.95232219
1761617716610,-0.09537649,1.63934463,0.15282822,0.06671000,0.29531262,0.03737968,0.95233554
1761617716621,-0.09534168,1.63938195,0.15308762,0.06670988,0.29522768,0.03724761,0.95236706
1761617716633,-0.09530687,1.63942504,0.15334225,0.06675992,0.29517555,0.03719257,0.95238187
1761617716644,-0.09530354,1.63945079,0.15357971,0.06690097,0.29510581,0.03710440,0.95239702
1761617716655,-0.09530210,1.63946420,0.15381718,0.06710893,0.29508745,0.03697145,0.95239325
1761617716666,-0.09531879,1.63947904,0.15404892,0.06724174,0.29503689,0.03696921,0.95239963
1761617716677,-0.09533215,1.63948214,0.15428257,0.06735303,0.29504943,0.03699312,0.95238695
1761617716688,-0.09537125,1.63947845,0.15449524,0.06753339,0.29503426,0.03702696,0.95237757
1761617716699,-0.09536600,1.63948250,0.15472984,0.06758344,0.29506884,0.03711212,0.95235999
1761617716711,-0.09537697,1.63944519,0.15492249,0.06764013,0.29507375,0.03713690,0.95235348
1761617716722,-0.09537506,1.63939369,0.15511131,0.06761213,0.29510540,0.03719472,0.95234340
1761617716733,-0.09537268,1.63932580,0.15528488,0.06750258,0.29508246,0.03723323,0.95235678
1761617716744,-0.09536219,1.63925433,0.15545082,0.06724174,0.29503863,0.03719411,0.95239034
1761617716755,-0.09534693,1.63917917,0.15558910,0.06689462,0.29494898,0.03711219,0.95244574
1761617716766,-0.09530783,1.63906956,0.15572929,0.06681134,0.29485034,0.03702626,0.95248547
1761617716777,-0.09526062,1.63896060,0.15586853,0.06659686,0.29475172,0.03688004,0.95253669
1761617716789,-0.09520388,1.63884312,0.15599251,0.06649235,0.29467713,0.03677373,0.95257118
1761617716800,-0.09517431,1.63876367,0.15607548,0.06643825,0.29456193,0.03671999,0.95261265
1761617716811,-0.09515190,1.63869727,0.15614891,0.06628213,0.29446975,0.03658837,0.95265709
1761617716822,-0.09512281,1.63863891,0.15621853,0.06604622,0.29439836,0.03645464,0.95270067
1761617716833,-0.09509754,1.63858902,0.15627003,0.06579623,0.29435932,0.03626458,0.95273728
1761617716844,-0.09508324,1.63853198,0.15631580,0.06552989,0.29421262,0.03604825,0.95280916
1761617716855,-0.09505272,1.63847071,0.15635586,0.06515759,0.29406571,0.03587786,0.95288647
1761617716867,-0.09499884,1.63840824,0.15637779,0.06489127,0.29388003,0.03563229,0.95297114
1761617716878,-0.09493256,1.63836318,0.15638161,0.06469630,0.29362608,0.03543604,0.95306999
1761617716889,-0.09486580,1.63833445,0.15637970,0.06462972,0.29336444,0.03520118,0.95316377
1761617716900,-0.09481668,1.63832790,0.15638351,0.06450902,0.29303032,0.03501776,0.95328148
1761617716911,-0.09477091,1.63831496,0.15638542,0.06441839,0.29272829,0.03488268,0.95338535
1761617716922,-0.09472990,1.63828754,0.15639400,0.06416172,0.29234820,0.03476753,0.95352348
1761617716933,-0.09468412,1.63823664,0.15640163,0.06393912,0.29199023,0.03477696,0.95364777
1761617716945,-0.09464264,1.63817638,0.15640926,0.06367079,0.29164403,0.03480717,0.95377054
1761617716956,-0.09460783,1.63810498,0.15641689,0.06351400,0.29123873,0.03476459,0.95390639
1761617716967,-0.09454250,1.63804251,0.15641880,0.06348953,0.29090069,0.03474588,0.95401184
1761617716978,-0.09446716,1.63798296,0.15641499,0.06356792,0.29057116,0.03475143,0.95410684
1761617716989,-0.09439945,1.63793021,0.15640926,0.06356586,0.29025179,0.03472745,0.95420505
1761617717000,-0.09436464,1.63786858,0.15640259,0.06346640,0.28997887,0.03466188,0.95429703
1761617717011,-0.09433699,1.63781017,0.15639019,0.06336368,0.28970800,0.03457445,0.95438929
1761617717022,-0.09431648,1.63774562,0.15637016,0.06338119,0.28935270,0.03437019,0.95450329
1761617717034,-0.09427452,1.63768166,0.15634060,0.06345563,0.28894255,0.03417806,0.95462948
1761617717045,-0.09421825,1.63762218,0.15629673,0.06344261,0.28852494,0.03402600,0.95476208
1761617717056,-0.09415293,1.63757008,0.15624714,0.06351758,0.28809428,0.03392264,0.95489081
1761617717067,-0.09408045,1.63753217,0.15620041,0.06363656,0.28760561,0.03378108,0.95503520
1761617717078,-0.09399843,1.63748652,0.15615177,0.06377089,0.28716774,0.03363097,0.95516329
1761617717089,-0.09391689,1.63743722,0.15608311,0.06382337,0.28676702,0.03352738,0.95528381
1761617717101,-0.09385300,1.63737297,0.15600014,0.06370444,0.28640052,0.03344615,0.95540454
1761617717112,-0.09379625,1.63730055,0.15590763,0.06356255,0.28609669,0.03338651,0.95550710
1761617717124,-0.09374666,1.63722515,0.15581512,0.06349438,0.28586530,0.03332078,0.95558318
1761617717134,-0.09370470,1.63716263,0.15571880,0.06341508,0.28569961,0.03332367,0.95563790
1761617717145,-0.09366989,1.63711047,0.15562439,0.06343119,0.28557110,0.03328928,0.95567644
1761617717156,-0.09364176,1.63707250,0.15553284,0.06341961,0.28551592,0.03327975,0.95569403
1761617717167,-0.09354830,1.63705486,0.15543461,0.06338920,0.28549021,0.03325976,0.95570442
1761617717178,-0.09344435,1.63704181,0.15533924,0.06333705,0.28557862,0.03318768,0.95568397
1761617717190,-0.09333563,1.63701808,0.15524769,0.06326417,0.28567876,0.03316755,0.95565957
1761617717201,-0.09328985,1.63696998,0.15515995,0.06305444,0.28585795,0.03307224,0.95562315
1761617717212,-0.09325695,1.63692999,0.15507603,0.06286447,0.28593973,0.03295803,0.95561514
1761617717223,-0.09321213,1.63691318,0.15498638,0.06281848,0.28606343,0.03281253,0.95558615
1761617717234,-0.09316206,1.63691723,0.15489006,0.06285837,0.28606813,0.03269160,0.95558627
1761617717246,-0.09309196,1.63693261,0.15479755,0.06295993,0.28607195,0.03254551,0.95558342
1761617717257,-0.09301424,1.63694781,0.15470028,0.06307712,0.28602308,0.03247263,0.95559280
1761617717269,-0.09290171,1.63698196,0.15461731,0.06311604,0.28594003,0.03237981,0.95561824
1761617717280,-0.09277248,1.63701630,0.15453625,0.06324764,0.28584551,0.03225364,0.95564208
1761617717290,-0.09263277,1.63704556,0.15445900,0.06333447,0.28568262,0.03214153,0.95568881
1761617717302,-0.09251356,1.63705283,0.15436840,0.06346640,0.28547411,0.03188977,0.95575080
1761617717314,-0.09239674,1.63705909,0.15427685,0.06357434,0.28519216,0.03171345,0.95583366
1761617717325,-0.09226131,1.63707346,0.15418816,0.06375552,0.28495236,0.03157545,0.95589768
1761617717334,-0.09212446,1.63709605,0.15409851,0.06393385,0.28460878,0.03146580,0.95599174
1761617717361,-0.09198332,1.63713455,0.15401745,0.06404084,0.28427391,0.03127580,0.95609045
1761617717363,-0.09174013,1.63719028,0.15387917,0.06421397,0.28375365,0.03100319,0.95624225
1761617717374,-0.09159374,1.63723058,0.15382099,0.06431614,0.28334599,0.03084231,0.95636146
1761617717386,-0.09143591,1.63726550,0.15377808,0.06444883,0.28304749,0.03067944,0.95644615
1761617717397,-0.09129095,1.63729703,0.15373898,0.06445719,0.28275560,0.03063059,0.95653348
1761617717408,-0.09117556,1.63731176,0.15367794,0.06451226,0.28254421,0.03055314,0.95659471
1761617717420,-0.09106207,1.63732505,0.15362167,0.06458360,0.28234601,0.03049925,0.95665014
1761617717431,-0.09095144,1.63734001,0.15357018,0.06464800,0.28219569,0.03036486,0.95669442
1761617717443,-0.09084749,1.63734967,0.15352058,0.06467029,0.28195470,0.03026321,0.95676718
1761617717454,-0.09074402,1.63736802,0.15347195,0.06475501,0.28177344,0.03016801,0.95681786
1761617717466,-0.09065199,1.63738984,0.15341663,0.06492199,0.28158322,0.03012043,0.95686404
1761617717477,-0.09054947,1.63742715,0.15338039,0.06499640,0.28144176,0.03008462,0.95690173
1761617717488,-0.09044075,1.63746017,0.15335464,0.06501147,0.28136016,0.02999921,0.95692738
1761617717500,-0.09033775,1.63747746,0.15332317,0.06503609,0.28120124,0.03003916,0.95697117
1761617717511,-0.09023333,1.63748026,0.15328503,0.06509917,0.28104080,0.03000952,0.95701494
1761617717525,-0.09013176,1.63749224,0.15325642,0.06514132,0.28082116,0.02993706,0.95707881
1761617717535,-0.09002876,1.63750070,0.15321827,0.06525093,0.28064168,0.02982254,0.95712757
1761617717544,-0.08992910,1.63750899,0.15318680,0.06529146,0.28045273,0.02969388,0.95718418
1761617717556,-0.08982897,1.63750523,0.15315723,0.06527495,0.28025326,0.02967244,0.95724440
1761617717567,-0.08971071,1.63749999,0.15313625,0.06525331,0.28011626,0.02966565,0.95728618
1761617717577,-0.08959007,1.63751084,0.15312576,0.06514556,0.27992059,0.02966442,0.95735079
1761617717588,-0.08946848,1.63751745,0.15311527,0.06517098,0.27970607,0.02966039,0.95741188
1761617717600,-0.08936214,1.63751340,0.15309811,0.06519272,0.27948660,0.02964636,0.95747493
1761617717611,-0.08926821,1.63751680,0.15308094,0.06525741,0.27923759,0.02944592,0.95754936
1761617717622,-0.08917236,1.63753659,0.15306854,0.06538096,0.27901173,0.02933634,0.95761013
