UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW
1761621667935,-0.04500863,1.59783332,0.02277375,0.09612035,0.39237882,-0.00169244,0.91476602
1761621667940,-0.04496837,1.59785460,0.02276844,0.09631520,0.39218676,-0.00201680,0.91482723
1761621667950,-0.04493611,1.59787103,0.02276284,0.09639470,0.39205821,-0.00214978,0.91487365
1761621667962,-0.04489684,1.59789136,0.02275682,0.09662412,0.39191157,-0.00230764,0.91491189
1761621667975,-0.04485327,1.59791802,0.02275899,0.09677063,0.39185412,-0.00234151,0.91492093
1761621667985,-0.04482422,1.59793844,0.02276615,0.09676826,0.39189410,-0.00227631,0.91490422
1761621667996,-0.04481049,1.59794986,0.02277324,0.09680772,0.39194059,-0.00226693,0.91488015
1761621668007,-0.04480393,1.59795825,0.02278300,0.09685361,0.39204126,-0.00227573,0.91483214
1761621668018,-0.04480106,1.59796654,0.02279718,0.09694166,0.39213621,-0.00235356,0.91478192
1761621668030,-0.04479448,1.59797838,0.02281417,0.09709600,0.39218610,-0.00246965,0.91474386
1761621668041,-0.04478594,1.59799137,0.02283124,0.09716862,0.39223325,-0.00250575,0.91471583
1761621668052,-0.04477645,1.59800559,0.02284976,0.09721376,0.39225204,-0.00249142,0.91470302
1761621668064,-0.04476845,1.59801723,0.02286464,0.09729152,0.39228538,-0.00250266,0.91468043
1761621668076,-0.04476660,1.59802485,0.02287871,0.09728034,0.39228773,-0.00246254,0.91468071
1761621668086,-0.04476976,1.59802505,0.02288311,0.09712343,0.39223225,-0.00236000,0.91472145
1761621668097,-0.04477844,1.59801583,0.02287424,0.09683714,0.39208637,-0.00221294,0.91481471
1761621668109,-0.04479143,1.59799718,0.02285061,0.09661815,0.39195432,-0.00204120,0.91489484
1761621668120,-0.04481063,1.59797335,0.02282368,0.09647168,0.39182693,-0.00185341,0.91496527
1761621668133,-0.04483147,1.59794758,0.02279482,0.09631419,0.39171565,-0.00173515,0.91502973
1761621668142,-0.04485347,1.59792179,0.02276732,0.09619766,0.39165139,-0.00155847,0.91506982
1761621668153,-0.04487792,1.59789344,0.02273749,0.09590076,0.39156112,-0.00143384,0.91513982
1761621668165,-0.04489778,1.59786563,0.02270315,0.09577903,0.39150555,-0.00139332,0.91517640
1761621668176,-0.04491782,1.59783914,0.02267185,0.09570085,0.39148373,-0.00132932,0.91519401
1761621668187,-0.04493557,1.59781898,0.02265119,0.09574993,0.39160939,-0.00132320,0.91513512
1761621668198,-0.04495005,1.59781076,0.02265187,0.09601400,0.39205827,-0.00145823,0.91491502
1761621668209,-0.04496171,1.59781983,0.02268584,0.09639598,0.39277667,-0.00160906,0.91456641
1761621668221,-0.04498243,1.59784235,0.02275992,0.09674376,0.39370996,-0.00175866,0.91412801
1761621668232,-0.04501663,1.59787201,0.02286659,0.09701322,0.39480302,-0.00187791,0.91362765
1761621668243,-0.04506493,1.59790501,0.02299864,0.09729477,0.39594978,-0.00206395,0.91310089
1761621668254,-0.04513160,1.59794232,0.02316400,0.09753547,0.39718045,-0.00219530,0.91254025
1761621668266,-0.04520378,1.59797637,0.02333012,0.09793132,0.39844572,-0.00233194,0.91194574
1761621668276,-0.04528168,1.59801624,0.02351718,0.09847983,0.39978416,-0.00244552,0.91130037
1761621668288,-0.04536493,1.59806406,0.02372962,0.09915236,0.40123220,-0.00254092,0.91059051
1761621668299,-0.04544991,1.59812168,0.02396736,0.09983410,0.40278087,-0.00272324,0.90983147
1761621668310,-0.04553480,1.59818760,0.02422511,0.10046676,0.40432907,-0.00297726,0.90907402
1761621668321,-0.04561780,1.59825778,0.02449188,0.10098565,0.40577803,-0.00320556,0.90836987
1761621668332,-0.04569967,1.59832445,0.02475127,0.10128772,0.40715691,-0.00339947,0.90771829
1761621668343,-0.04578232,1.59838324,0.02499587,0.10162929,0.40849037,-0.00358912,0.90708005
1761621668354,-0.04586213,1.59843722,0.02522740,0.10204329,0.40975595,-0.00380227,0.90646167
1761621668366,-0.04593959,1.59848809,0.02545010,0.10244872,0.41104078,-0.00398220,0.90583325
1761621668378,-0.04601457,1.59853771,0.02566813,0.10286417,0.41223960,-0.00418406,0.90524028
1761621668388,-0.04608436,1.59858823,0.02588250,0.10329937,0.41341330,-0.00438791,0.90465431
1761621668400,-0.04615237,1.59863709,0.02609185,0.10362759,0.41456356,-0.00443223,0.90409000
1761621668411,-0.04622205,1.59868066,0.02629234,0.10384835,0.41559402,-0.00448144,0.90359120
1761621668421,-0.04629453,1.59871508,0.02647646,0.10396040,0.41650600,-0.00459643,0.90315771
1761621668434,-0.04636454,1.59874117,0.02663825,0.10397692,0.41733005,-0.00476185,0.90277448
1761621668444,-0.04642808,1.59876005,0.02677437,0.10399196,0.41799881,-0.00491655,0.90246246
1761621668454,-0.04648500,1.59877423,0.02689021,0.10405797,0.41860844,-0.00503073,0.90217160
1761621668467,-0.04653931,1.59878624,0.02699751,0.10409375,0.41911304,-0.00509183,0.90193283
1761621668480,-0.04658421,1.59879456,0.02708274,0.10410815,0.41956273,-0.00510396,0.90172200
1761621668489,-0.04662644,1.59879962,0.02715632,0.10415310,0.41993733,-0.00508665,0.90154251
1761621668499,-0.04666219,1.59880154,0.02721315,0.10410413,0.42022508,-0.00504845,0.90141429
1761621668510,-0.04670086,1.59880002,0.02726595,0.10407702,0.42047526,-0.00495696,0.90130126
1761621668521,-0.04674071,1.59879547,0.02731327,0.10411903,0.42062636,-0.00480873,0.90122670
1761621668533,-0.04677907,1.59878832,0.02735222,0.10407027,0.42075237,-0.00462824,0.90117446
1761621668544,-0.04681831,1.59877704,0.02738242,0.10395025,0.42085375,-0.00450951,0.90114157
1761621668555,-0.04685209,1.59876513,0.02740319,0.10395761,0.42093982,-0.00457032,0.90110021
1761621668567,-0.04687596,1.59875461,0.02741285,0.10383280,0.42095691,-0.00458688,0.90110654
1761621668578,-0.04689372,1.59874444,0.02741423,0.10370274,0.42101395,-0.00466080,0.90109448
1761621668589,-0.04690592,1.59873571,0.02741106,0.10367222,0.42111839,-0.00467953,0.90104910
1761621668599,-0.04691299,1.59873196,0.02741237,0.10381594,0.42130961,-0.00479863,0.90094253
1761621668611,-0.04691600,1.59873675,0.02742842,0.10409637,0.42152138,-0.00483872,0.90081089
1761621668623,-0.04691383,1.59875158,0.02746132,0.10444688,0.42173166,-0.00492171,0.90067143
1761621668634,-0.04690354,1.59877924,0.02751350,0.10483689,0.42195940,-0.00518799,0.90051795
1761621668644,-0.04688461,1.59881717,0.02757815,0.10518998,0.42220617,-0.00533310,0.90036025
1761621668655,-0.04686271,1.59885833,0.02764652,0.10535789,0.42246065,-0.00550321,0.90022021
1761621668667,-0.04684121,1.59889644,0.02770817,0.10545939,0.42274810,-0.00573533,0.90007192
1761621668677,-0.04682418,1.59893009,0.02776564,0.10553462,0.42312689,-0.00594640,0.89988372
1761621668690,-0.04681404,1.59895930,0.02782243,0.10558135,0.42351296,-0.00611570,0.89969548
1761621668700,-0.04681221,1.59897844,0.02786702,0.10544222,0.42385277,-0.00631689,0.89955037
1761621668713,-0.04681533,1.59899069,0.02790187,0.10537600,0.42415118,-0.00649086,0.89941622
1761621668722,-0.04681809,1.59899815,0.02792451,0.10522205,0.42444849,-0.00678542,0.89929181
1761621668733,-0.04681976,1.59900344,0.02794007,0.10512761,0.42474083,-0.00704285,0.89916284
1761621668746,-0.04681856,1.59900843,0.02795058,0.10505125,0.42501087,-0.00728800,0.89904220
1761621668756,-0.04681571,1.59901326,0.02795833,0.10498198,0.42526255,-0.00752388,0.89892933
1761621668767,-0.04681340,1.59901520,0.02795973,0.10474710,0.42549243,-0.00775704,0.89884596
1761621668778,-0.04681360,1.59901189,0.02795174,0.10446072,0.42565460,-0.00794693,0.89880085
1761621668790,-0.04681652,1.59900306,0.02793432,0.10417155,0.42580854,-0.00807567,0.89876035
1761621668800,-0.04682102,1.59899206,0.02791368,0.10413123,0.42596051,-0.00823796,0.89869153
1761621668812,-0.04682670,1.59898222,0.02789794,0.10406001,0.42610180,-0.00824607,0.89863272
1761621668824,-0.04683367,1.59897416,0.02788839,0.10403249,0.42619834,-0.00822674,0.89859030
1761621668834,-0.04684286,1.59896915,0.02788973,0.10412031,0.42629421,-0.00815605,0.89853530
1761621668846,-0.04685268,1.59896760,0.02790056,0.10422844,0.42635251,-0.00817434,0.89849494
1761621668857,-0.04686385,1.59896894,0.02792059,0.10426469,0.42648148,-0.00802847,0.89843084
1761621668868,-0.04687700,1.59896857,0.02793929,0.10423949,0.42652859,-0.00799160,0.89841172
1761621668878,-0.04688988,1.59896823,0.02795775,0.10432844,0.42663892,-0.00798422,0.89834907
1761621668889,-0.04690063,1.59897163,0.02798225,0.10444242,0.42671117,-0.00804733,0.89830095
1761621668901,-0.04690279,1.59897759,0.02800022,0.10443051,0.42676646,-0.00813958,0.89827524
