UnixTime(ms),ViewIndex,Eye,EyePosX,EyePosY,EyePosZ,EyeOrientX,EyeOrientY,EyeOrientZ,EyeOrientW
1761615243904,0,left,0.01761642,1.61810376,0.20472623,0.18529517,0.05308379,0.04313802,0.98029941
1761615243904,1,right,0.08511910,1.62520729,0.19872378,0.18529517,0.05308379,0.04313802,0.98029941
1761615243915,0,left,0.01761175,1.61810828,0.20472820,0.18524874,0.05314915,0.04311376,0.98030570
1761615243915,1,right,0.08511375,1.62520992,0.19871609,0.18524874,0.05314915,0.04311376,0.98030570
1761615243926,0,left,0.01761213,1.61812782,0.20472904,0.18527941,0.05317618,0.04310567,0.98029880
1761615243926,1,right,0.08511385,1.62522925,0.19871335,0.18527941,0.05317618,0.04310567,0.98029880
1761615243937,0,left,0.01760313,1.61817868,0.20474091,0.18531946,0.05313077,0.04304802,0.98029622
1761615243937,1,right,0.08510616,1.62527154,0.19873008,0.18531946,0.05313077,0.04304802,0.98029622
1761615243949,0,left,0.01760088,1.61822377,0.20475532,0.18536368,0.05310710,0.04297901,0.98029217
1761615243949,1,right,0.08510508,1.62530710,0.19874619,0.18536368,0.05310710,0.04297901,0.98029217
1761615243960,0,left,0.01760846,1.61824341,0.20474796,0.18532416,0.05304842,0.04296181,0.98030358
1761615243960,1,right,0.08511371,1.62532275,0.19874592,0.18532416,0.05304842,0.04296181,0.98030358
1761615243971,0,left,0.01761629,1.61823126,0.20471336,0.18527087,0.05297141,0.04296909,0.98031750
1761615243971,1,right,0.08512257,1.62530932,0.19872139,0.18527087,0.05297141,0.04296909,0.98031750
1761615243982,0,left,0.01762947,1.61820963,0.20468727,0.18517160,0.05291820,0.04304523,0.98033579
1761615243982,1,right,0.08513561,1.62529591,0.19870362,0.18517160,0.05291820,0.04304523,0.98033579
1761615243993,0,left,0.01763987,1.61819738,0.20465961,0.18502230,0.05288109,0.04311762,0.98036280
1761615243993,1,right,0.08514571,1.62529147,0.19868168,0.18502230,0.05288109,0.04311762,0.98036280
1761615244005,0,left,0.01764821,1.61818187,0.20462868,0.18485467,0.05281549,0.04315458,0.98039633
1761615244005,1,right,0.08515455,1.62527825,0.19865921,0.18485467,0.05281549,0.04315458,0.98039633
1761615244016,0,left,0.01766525,1.61815638,0.20460230,0.18466142,0.05280774,0.04314361,0.98043364
1761615244016,1,right,0.08517183,1.62524992,0.19863218,0.18466142,0.05280774,0.04314361,0.98043364
1761615244027,0,left,0.01770148,1.61810132,0.20456232,0.18442644,0.05275060,0.04312987,0.98048155
1761615244027,1,right,0.08520904,1.62519018,0.19859777,0.18442644,0.05275060,0.04312987,0.98048155
1761615244039,0,left,0.01773961,1.61803992,0.20452292,0.18422102,0.05269560,0.04307359,0.98052560
1761615244039,1,right,0.08524863,1.62511866,0.19856279,0.18422102,0.05269560,0.04307359,0.98052560
1761615244049,0,left,0.01777759,1.61798432,0.20448267,0.18409248,0.05262971,0.04300529,0.98055628
1761615244049,1,right,0.08528838,1.62505154,0.19852865,0.18409248,0.05262971,0.04300529,0.98055628
1761615244061,0,left,0.01780118,1.61795461,0.20445420,0.18391323,0.05259334,0.04300498,0.98059188
1761615244061,1,right,0.08531247,1.62501979,0.19850372,0.18391323,0.05259334,0.04300498,0.98059188
1761615244072,0,left,0.01782032,1.61793837,0.20443630,0.18388179,0.05258398,0.04294636,0.98060085
1761615244072,1,right,0.08533243,1.62499532,0.19848537,0.18388179,0.05258398,0.04294636,0.98060085
1761615244083,0,left,0.01784354,1.61792928,0.20442006,0.18376134,0.05258085,0.04296718,0.98062268
1761615244083,1,right,0.08535546,1.62498820,0.19846919,0.18376134,0.05258085,0.04296718,0.98062268
1761615244094,0,left,0.01786126,1.61792236,0.20441078,0.18368477,0.05253520,0.04295460,0.98064003
1761615244094,1,right,0.08537398,1.62497801,0.19846512,0.18368477,0.05253520,0.04295460,0.98064003
1761615244105,0,left,0.01788065,1.61792079,0.20440587,0.18366883,0.05252852,0.04293455,0.98064425
1761615244105,1,right,0.08539370,1.62497350,0.19846049,0.18366883,0.05252852,0.04293455,0.98064425
1761615244116,0,left,0.01790012,1.61792091,0.20440057,0.18364479,0.05247145,0.04290911,0.98065292
1761615244116,1,right,0.08541427,1.62496867,0.19846198,0.18364479,0.05247145,0.04290911,0.98065292
1761615244127,0,left,0.01789602,1.61798138,0.20443492,0.18363760,0.05244605,0.04285160,0.98065814
1761615244127,1,right,0.08541122,1.62502079,0.19849820,0.18363760,0.05244605,0.04285160,0.98065814
1761615244138,0,left,0.01787580,1.61806179,0.20447139,0.18364388,0.05236715,0.04279222,0.98066377
1761615244138,1,right,0.08539282,1.62509137,0.19854374,0.18364388,0.05236715,0.04279222,0.98066377
1761615244150,0,left,0.01786147,1.61814044,0.20451120,0.18367265,0.05230547,0.04278133,0.98066215
1761615244150,1,right,0.08537950,1.62516721,0.19859168,0.18367265,0.05230547,0.04278133,0.98066215
1761615244161,0,left,0.01786708,1.61817592,0.20453748,0.18370086,0.05223974,0.04276149,0.98066124
