UnixTime(ms),ViewIndex,Eye,EyePosX,EyePosY,EyePosZ,EyeOrientX,EyeOrientY,EyeOrientZ,EyeOrientW
1761618578900,0,left,-0.03269399,1.51330169,-0.00113979,0.04723125,-0.00613049,0.03781772,0.99814901
1761618578900,1,right,0.03514612,1.51839898,-0.00006404,0.04723125,-0.00613049,0.03781772,0.99814901
1761618578918,0,left,-0.03266668,1.51326112,-0.00120519,0.04700901,-0.00640212,0.03775054,0.99816034
1761618578918,1,right,0.03528124,1.51835586,-0.00009234,0.04700901,-0.00640212,0.03775054,0.99816034
1761618578927,0,left,-0.03247261,1.51318376,-0.00139435,0.04661382,-0.00705782,0.03763748,0.99817872
1761618578927,1,right,0.03547525,1.51825940,-0.00019504,0.04661382,-0.00705782,0.03763748,0.99817872
1761618578933,0,left,-0.03239392,1.51316224,-0.00148223,0.04655919,-0.00731483,0.03759582,0.99818099
1761618578933,1,right,0.03555386,1.51823064,-0.00024849,0.04655919,-0.00731483,0.03759582,0.99818099
1761618578945,0,left,-0.03228504,1.51315863,-0.00162050,0.04650734,-0.00768985,0.03754195,0.99818262
1761618578945,1,right,0.03566254,1.51821739,-0.00033635,0.04650734,-0.00768985,0.03754195,0.99818262
1761618578956,0,left,-0.03215862,1.51315690,-0.00173282,0.04664097,-0.00796342,0.03757234,0.99817309
1761618578956,1,right,0.03578807,1.51821786,-0.00041058,0.04664097,-0.00796342,0.03757234,0.99817309
1761618578967,0,left,-0.03204404,1.51316704,-0.00184620,0.04668672,-0.00828271,0.03741440,0.99817429
1761618578967,1,right,0.03590356,1.51820444,-0.00048129,0.04668672,-0.00828271,0.03741440,0.99817429
1761618578979,0,left,-0.03192548,1.51316172,-0.00195515,0.04654621,-0.00866917,0.03719958,0.99818560
1761618578979,1,right,0.03602341,1.51816766,-0.00053973,0.04654621,-0.00866917,0.03719958,0.99818560
1761618578990,0,left,-0.03180102,1.51314867,-0.00203960,0.04610378,-0.00904461,0.03706318,0.99820787
1761618578990,1,right,0.03614834,1.51813432,-0.00057617,0.04610378,-0.00904461,0.03706318,0.99820787
1761618579001,0,left,-0.03167787,1.51312440,-0.00212226,0.04581030,-0.00948027,0.03688501,0.99822394
1761618579001,1,right,0.03627219,1.51808354,-0.00060214,0.04581030,-0.00948027,0.03688501,0.99822394
