UnixTime(ms),Ax,Ay,Az,Gx,Gy,Gz,QuatW,QuatX,QuatY,QuatZ
1761617806316,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95376273,0.06207783,0.28999407,0.04885115
1761617806324,0.74268126,-0.56819590,-1.51668040,-0.03987562,-0.01010718,0.00804480,0.95378190,0.06193229,0.28995718,0.04888051
1761617806335,-0.14689216,0.01037112,0.37823770,-0.03886027,-0.00373626,0.02708575,0.95379447,0.06171661,0.28993644,0.04903084
1761617806346,-0.00425523,0.07484408,0.04692931,-0.02608999,-0.01194683,0.01409520,0.95382088,0.06156660,0.28986775,0.04911189
1761617806357,0.06826550,0.15950352,0.00169107,0.00182046,-0.00329411,-0.00218025,0.95382640,0.06157670,0.28984947,0.04909979
1761617806369,0.13765732,0.16603910,0.11631947,0.01798226,-0.01317635,-0.00300332,0.95384333,0.06167830,0.28977502,0.04908282
1761617806380,0.07001877,0.13957075,0.00746867,0.03179828,-0.00236539,-0.00446187,0.95383706,0.06185796,0.28976165,0.04905761
1761617806391,-0.18111522,-0.01260338,-0.01213659,0.03173067,-0.00481923,-0.01417982,0.95383780,0.06203724,0.28973443,0.04897749
1761617806402,-0.13967316,-0.05929886,0.02163050,0.01083102,-0.00277397,-0.00524192,0.95384008,0.06209789,0.28971889,0.04894814
1761617806414,0.05131777,-0.12591861,0.08933094,-0.00563764,0.00261405,-0.00415185,0.95383888,0.06206632,0.28973353,0.04892489
1761617806425,0.02394748,-0.13091669,0.07190795,-0.01705314,-0.00103452,0.00049031,0.95384685,0.06196912,0.28972763,0.04892768
1761617806436,0.00365370,-0.00016550,0.07979571,-0.01412121,-0.00170764,-0.01201625,0.95385823,0.06189074,0.28971816,0.04886099
1761617806447,0.03710136,0.16668003,0.03208859,-0.00370724,-0.00093913,-0.01546408,0.95386561,0.06186998,0.28971290,0.04877439
1761617806458,-0.02043208,0.04704129,-0.00380132,0.01985959,-0.00300761,-0.01680387,0.95386831,0.06198120,0.28969605,0.04868029
1761617806470,-0.11841004,-0.03423499,0.00048376,0.05068897,-0.00945801,-0.02692177,0.95387354,0.06226252,0.28964356,0.04853087
1761617806481,0.06159129,-0.00335585,0.08681486,0.01323708,-0.00833372,-0.00973645,0.95388575,0.06233731,0.28959648,0.04847586
1761617806492,0.14311705,-0.01495297,0.06303289,0.00342509,-0.00360108,-0.00576721,0.95389226,0.06235649,0.28957631,0.04844357
1761617806503,0.02848596,-0.04486917,0.03668837,0.00309354,-0.00984332,0.00109132,0.95390742,0.06237366,0.28952168,0.04844962
1761617806514,0.01976000,-0.05389051,0.03016225,-0.00177746,-0.00383160,-0.00016096,0.95391462,0.06236371,0.28950022,0.04844872
1761617806526,0.01235428,0.05416876,0.06747337,-0.01681591,-0.00352919,0.00847888,0.95392436,0.06226954,0.28948046,0.04849620
1761617806537,-0.01425494,0.05274327,0.02470856,-0.00336648,0.00041356,-0.00729454,0.95392696,0.06225069,0.28948278,0.04845535
1761617806548,-0.06509755,0.16393178,0.03136086,0.01149424,-0.00268358,-0.01116715,0.95393050,0.06231505,0.28946775,0.04839282
1761617806559,0.08743028,0.14112388,0.10548654,0.02216421,0.00443368,-0.01483752,0.95391906,0.06243917,0.28949258,0.04830973
1761617806570,0.11618559,0.00926064,0.09355663,0.05585705,0.01298070,-0.01725948,0.95388169,0.06274918,0.28956462,0.04821394
1761617806581,-0.03821741,0.07836988,0.01741553,0.04807732,0.01644327,-0.01500502,0.95384060,0.06301601,0.28965588,0.04813066
1761617806593,-0.20414098,0.02148943,0.00310783,0.04900300,0.02517035,-0.02175872,0.95378576,0.06329043,0.28979683,0.04800881
1761617806604,-0.15829471,0.04894662,0.03556534,0.03954765,0.01488691,-0.01542102,0.95375036,0.06350992,0.28987946,0.04792322
1761617806615,-0.05306287,-0.08410663,0.01383554,0.04191772,0.02262082,-0.02314871,0.95370227,0.06374675,0.29000726,0.04779243
1761617806626,-0.01661068,-0.04644569,0.05751234,0.04012228,0.02895061,-0.01205815,0.95364184,0.06396943,0.29016794,0.04772551
1761617806637,-0.12916517,0.01015906,0.00483765,0.04662099,0.02641624,-0.00682356,0.95358172,0.06422818,0.29031455,0.04768764
1761617806648,-0.08891143,0.00341177,0.07051271,0.05288417,0.03110985,-0.02920161,0.95351683,0.06452433,0.29048876,0.04752411
1761617806660,-0.16535727,0.01758109,-0.08267864,0.04539464,0.04201347,-0.00413420,0.95342904,0.06477854,0.29072404,0.04750096
1761617806671,-0.33750360,0.07024954,-0.12511364,0.04795559,0.04396498,0.01189186,0.95333319,0.06504469,0.29096805,0.04756696
1761617806682,-0.06084675,0.00260270,0.00330475,0.04856489,0.05020242,-0.00654626,0.95323057,0.06531665,0.29124918,0.04753030
1761617806693,0.08848574,-0.13904779,0.02278877,0.05589470,0.05871052,0.00322339,0.95310875,0.06562687,0.29157502,0.04754819
1761617806704,0.09571784,-0.06889030,0.10000716,0.04051438,0.04399808,0.01746975,0.95301280,0.06585375,0.29182141,0.04764602
1761617806715,-0.04086415,-0.07792699,-0.02565889,0.04050727,0.05635265,-0.01394499,0.95290431,0.06608059,0.29213699,0.04756793
1761617806727,-0.01330461,-0.08315380,0.00285099,0.01924299,0.05253439,-0.00186449,0.95280711,0.06618835,0.29243118,0.04755749
1761617806738,-0.09867841,-0.06929832,0.02559763,-0.00500283,0.05978309,-0.02875389,0.95271593,0.06616084,0.29275999,0.04739934
1761617806749,0.01654565,0.00413323,0.01570118,-0.00217148,0.05165700,-0.01306925,0.95263071,0.06614857,0.29305185,0.04732550
