UnixTime(ms),ViewIndex,Eye,EyePosX,EyePosY,EyePosZ,EyeOrientX,EyeOrientY,EyeOrientZ,EyeOrientW
1759199099390,0,left,0.74091911,1.20556250,-0.20688157,0.13287060,0.32007984,0.00822491,0.93799075
1759199099390,1,right,0.79511178,1.21241280,-0.24766623,0.13287060,0.32007984,0.00822491,0.93799075
1759199099407,0,left,0.74095565,1.20554471,-0.20688868,0.13270629,0.32001249,0.00825196,0.93803675
1759199099407,1,right,0.79515415,1.21239012,-0.24766642,0.13270629,0.32001249,0.00825196,0.93803675
1759199099415,0,left,0.74104726,1.20549294,-0.20693788,0.13246431,0.31969924,0.00823222,0.93817793
1759199099415,1,right,0.79527307,1.21231976,-0.24768233,0.13246431,0.31969924,0.00823222,0.93817793
1759199099426,0,left,0.74110609,1.20547077,-0.20697279,0.13231254,0.31945309,0.00824564,0.93828307
1759199099426,1,right,0.79535335,1.21228835,-0.24769027,0.13231254,0.31945309,0.00824564,0.93828307
1759199099438,0,left,0.74116188,1.20544860,-0.20701319,0.13223042,0.31926367,0.00817577,0.93835973
1759199099438,1,right,0.79542571,1.21225038,-0.24771112,0.13223042,0.31926367,0.00817577,0.93835973
1759199099449,0,left,0.74120200,1.20545697,-0.20704912,0.13204676,0.31909504,0.00807571,0.93844382
1759199099449,1,right,0.79548073,1.21223497,-0.24773113,0.13204676,0.31909504,0.00807571,0.93844382
1759199099459,0,left,0.74123883,1.20547476,-0.20707700,0.13188142,0.31894200,0.00803877,0.93851940
1759199099459,1,right,0.79553104,1.21223822,-0.24774358,0.13188142,0.31894200,0.00803877,0.93851940
1759199099470,0,left,0.74127114,1.20549017,-0.20710735,0.13181538,0.31872154,0.00799488,0.93860395
1759199099470,1,right,0.79558265,1.21224123,-0.24775027,0.13181538,0.31872154,0.00799488,0.93860395
1759199099481,0,left,0.74130571,1.20547131,-0.20713547,0.13175889,0.31855918,0.00803303,0.93866667
1759199099481,1,right,0.79563117,1.21222195,-0.24775970,0.13175889,0.31855918,0.00803303,0.93866667
1759199099492,0,left,0.74133307,1.20544761,-0.20715846,0.13163353,0.31846790,0.00791668,0.93871622
1759199099492,1,right,0.79566675,1.21217632,-0.24777539,0.13163353,0.31846790,0.00791668,0.93871622
1759199099504,0,left,0.74136120,1.20541528,-0.20718062,0.13151637,0.31842632,0.00781370,0.93874761
1759199099504,1,right,0.79569870,1.21212503,-0.24779555,0.13151637,0.31842632,0.00781370,0.93874761
1759199099515,0,left,0.74138570,1.20539615,-0.20719898,0.13148735,0.31841867,0.00767303,0.93875543
1759199099515,1,right,0.79572415,1.21208653,-0.24781585,0.13148735,0.31841867,0.00767303,0.93875543
1759199099527,0,left,0.74141163,1.20538795,-0.20721896,0.13144861,0.31837838,0.00768967,0.93877438
1759199099527,1,right,0.79575354,1.21207803,-0.24783121,0.13144861,0.31837838,0.00768967,0.93877438
1759199099537,0,left,0.74143970,1.20537400,-0.20722663,0.13144648,0.31839081,0.00776538,0.93876984
1759199099537,1,right,0.79578042,1.21207392,-0.24783895,0.13144648,0.31839081,0.00776538,0.93876984
1759199099549,0,left,0.74145561,1.20536068,-0.20724226,0.13139107,0.31832036,0.00794221,0.93880001
1759199099549,1,right,0.79580206,1.21207961,-0.24784376,0.13139107,0.31832036,0.00794221,0.93880001
1759199099560,0,left,0.74145329,1.20536393,-0.20728232,0.13113309,0.31813126,0.00812621,0.93889860
1759199099560,1,right,0.79581571,1.21209192,-0.24786086,0.13113309,0.31813126,0.00812621,0.93889860
1759199099571,0,left,0.74145192,1.20535430,-0.20734647,0.13093463,0.31796495,0.00820113,0.93898198
1759199099571,1,right,0.79582864,1.21208039,-0.24790624,0.13093463,0.31796495,0.00820113,0.93898198
1759199099582,0,left,0.74145544,1.20534256,-0.20742443,0.13069863,0.31770598,0.00804405,0.93910386
1759199099582,1,right,0.79585493,1.21203384,-0.24795938,0.13069863,0.31770598,0.00804405,0.93910386
1759199099593,0,left,0.74146342,1.20531002,-0.20749641,0.13043592,0.31758122,0.00777524,0.93918485
1759199099593,1,right,0.79587424,1.21195337,-0.24802396,0.13043592,0.31758122,0.00777524,0.93918485
1759199099604,0,left,0.74147791,1.20528194,-0.20752734,0.13003025,0.31771086,0.00760104,0.93919868
1759199099604,1,right,0.79587787,1.21188775,-0.24807560,0.13003025,0.31771086,0.00760104,0.93919868
1759199099615,0,left,0.74147069,1.20526800,-0.20755312,0.12984124,0.31765071,0.00756847,0.93924544
1759199099615,1,right,0.79587591,1.21186045,-0.24809647,0.12984124,0.31765071,0.00756847,0.93924544
1759199099626,0,left,0.74147183,1.20526394,-0.20758209,0.12980838,0.31763350,0.00769358,0.93925478
1759199099626,1,right,0.79587835,1.21187070,-0.24812147,0.12980838,0.31763350,0.00769358,0.93925478
1759199099637,0,left,0.74146313,1.20526707,-0.20762687,0.12984077,0.31761860,0.00773113,0.93925504
1759199099637,1,right,0.79587084,1.21187973,-0.24816365,0.12984077,0.31761860,0.00773113,0.93925504
1759199099649,0,left,0.74146074,1.20526621,-0.20767586,0.12990984,0.31766449,0.00781075,0.93922931
1759199099649,1,right,0.79586428,1.21189287,-0.24821593,0.12990984,0.31766449,0.00781075,0.93922931
1759199099660,0,left,0.74145317,1.20525759,-0.20772377,0.12988700,0.31759223,0.00780186,0.93925698
1759199099660,1,right,0.79586303,1.21188086,-0.24825597,0.12988700,0.31759223,0.00780186,0.93925698
1759199099671,0,left,0.74145466,1.20525298,-0.20776165,0.12973287,0.31749917,0.00765036,0.93931099
1759199099671,1,right,0.79587287,1.21184859,-0.24828711,0.12973287,0.31749917,0.00765036,0.93931099
1759199099682,0,left,0.74145979,1.20525578,-0.20779562,0.12955348,0.31737222,0.00735143,0.93938103
1759199099682,1,right,0.79588956,1.21180317,-0.24831331,0.12955348,0.31737222,0.00735143,0.93938103
1759199099693,0,left,0.74145377,1.20526114,-0.20783073,0.12953866,0.31717209,0.00723838,0.93945155
1759199099693,1,right,0.79590106,1.21178994,-0.24832785,0.12953866,0.31717209,0.00723838,0.93945155
1759199099704,0,left,0.74146074,1.20524535,-0.20786375,0.12964397,0.31710156,0.00727591,0.93946054
1759199099704,1,right,0.79591411,1.21178225,-0.24835146,0.12964397,0.31710156,0.00727591,0.93946054
1759199099715,0,left,0.74146342,1.20522797,-0.20789169,0.12966341,0.31700484,0.00739370,0.93948958
1759199099715,1,right,0.79592490,1.21177912,-0.24836616,0.12966341,0.31700484,0.00739370,0.93948958
1759199099727,0,left,0.74147058,1.20520502,-0.20792814,0.12969101,0.31686044,0.00749477,0.93953368
1759199099727,1,right,0.79594433,1.21176785,-0.24838419,0.12969101,0.31686044,0.00749477,0.93953368
1759199099738,0,left,0.74148363,1.20518333,-0.20796707,0.12959254,0.31666607,0.00746669,0.93961302
1759199099738,1,right,0.79597419,1.21173495,-0.24840227,0.12959254,0.31666607,0.00746669,0.93961302
1759199099749,0,left,0.74145764,1.20514980,-0.20800719,0.12940383,0.31650503,0.00734544,0.93969424
1759199099749,1,right,0.79596239,1.21167496,-0.24842757,0.12940383,0.31650503,0.00734544,0.93969424
1759199099760,0,left,0.74141860,1.20512909,-0.20804255,0.12905563,0.31640162,0.00718301,0.93977820
1759199099760,1,right,0.79593265,1.21161669,-0.24845652,0.12905563,0.31640162,0.00718301,0.93977820
1759199099771,0,left,0.74137992,1.20509696,-0.20807526,0.12891522,0.31632962,0.00711086,0.93982225
1759199099771,1,right,0.79590028,1.21156800,-0.24848330,0.12891522,0.31632962,0.00711086,0.93982225
1759199099782,0,left,0.74137401,1.20504975,-0.20809458,0.12889553,0.31637538,0.00722416,0.93980869
1759199099782,1,right,0.79589021,1.21153528,-0.24850594,0.12889553,0.31637538,0.00722416,0.93980869
1759199099793,0,left,0.74138731,1.20501891,-0.20810314,0.12875953,0.31647003,0.00737394,0.93979430
1759199099793,1,right,0.79589504,1.21151939,-0.24852352,0.12875953,0.31647003,0.00737394,0.93979430
1759199099805,0,left,0.74139553,1.20499456,-0.20811412,0.12869740,0.31644169,0.00747576,0.93981155
1759199099805,1,right,0.79590553,1.21150494,-0.24852988,0.12869740,0.31644169,0.00747576,0.93981155
1759199099816,0,left,0.74140352,1.20497528,-0.20813420,0.12861991,0.31630820,0.00745706,0.93986724
1759199099816,1,right,0.79592508,1.21147761,-0.24853566,0.12861991,0.31630820,0.00745706,0.93986724
1759199099827,0,left,0.74141610,1.20496407,-0.20816085,0.12838459,0.31617748,0.00738138,0.93994399
1759199099827,1,right,0.79594898,1.21144435,-0.24855045,0.12838459,0.31617748,0.00738138,0.93994399
1759199099838,0,left,0.74141890,1.20495063,-0.20819010,0.12816846,0.31607813,0.00728860,0.94000763
