UnixTime(ms),Ax,Ay,Az,Gx,Gy,Gz,QuatW,QuatX,QuatY,QuatZ
1759198434852,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.72045857,0.06526127,-0.68169105,0.10944280
1759198434888,-0.05487772,0.06601604,-0.07585217,0.02999880,0.01082209,0.02873712,0.72051467,0.06579824,-0.68149734,0.10995719
1759198434909,-0.11980745,-0.06825885,-0.00336334,0.02271693,0.00742120,0.01245191,0.72054703,0.06604018,-0.68141830,0.11008981
1759198434969,0.06972053,0.00292240,0.02156751,-0.00348810,0.00117622,-0.00248137,0.72060135,0.06593554,-0.68138301,0.11001537
1759198434999,0.01893649,0.00078127,-0.06956985,-0.01857098,0.01142884,0.00400999,0.72077848,0.06565883,-0.68121272,0.11007511
1759198435042,-0.01328432,-0.05963256,0.05741724,-0.00724841,0.00137429,-0.01014923,0.72085422,0.06550226,-0.68118304,0.10985589
1759198435055,0.55853332,-0.24793632,-0.38923735,-0.02416429,0.00713270,-0.02714084,0.72093522,0.06535244,-0.68113882,0.10968762
1759198435077,-0.31836291,0.02031834,0.24884529,-0.02143582,-0.00184515,-0.01492001,0.72096221,0.06511772,-0.68115902,0.10952424
1759198435110,0.00553310,0.08767885,0.02442975,0.00031545,-0.00310379,0.00134888,0.72090950,0.06512297,-0.68121070,0.10954670
1759198435124,-0.01292138,0.05379679,0.02647562,-0.00092620,-0.01267090,0.01581820,0.72080728,0.06511635,-0.68130130,0.10965980
1759198435170,0.01800393,0.01490334,-0.05775595,-0.00719091,-0.00359482,-0.00036002,0.72074652,0.06495420,-0.68138236,0.10965168
1759198435190,0.01238629,0.02646238,-0.11116380,-0.03488701,-0.00451131,-0.01402954,0.72075675,0.06459835,-0.68142838,0.10950858
1759198435212,0.00725035,0.00316137,0.24143150,0.01221631,0.00565849,0.00980605,0.72078673,0.06473090,-0.68136698,0.10961498
1759198435226,0.17364905,0.15818382,0.15101282,0.05755557,0.00761209,0.01170259,0.72078834,0.06513379,-0.68131370,0.10969690
1759198435249,0.02933329,-0.03308944,0.01343285,0.02848574,0.00008550,-0.02816821,0.72080944,0.06547134,-0.68131268,0.10936310
1759198435271,-0.00674119,-0.02681106,0.03303783,-0.00312109,0.00072831,-0.02176349,0.72085662,0.06543685,-0.68130464,0.10912262
1759198435303,-0.10945227,-0.05633372,-0.11342589,-0.00996473,-0.00545392,-0.00836608,0.72080989,0.06528091,-0.68138999,0.10899169
1759198435313,0.26810106,-0.42602851,0.40821775,-0.06493002,-0.04470929,-0.00098949,0.72062315,0.06494652,-0.68162024,0.10898659
1759198435359,-0.04850145,0.05885437,-0.11243061,-0.00167941,-0.00524309,-0.00551845,0.72053133,0.06490772,-0.68174136,0.10885912
1759198435395,-0.00080726,-0.08918398,-0.03019443,-0.01907893,-0.00323137,-0.00410578,0.72051846,0.06456812,-0.68179888,0.10878603
1759198435419,-0.08631128,0.07982574,0.03322415,0.00126707,0.00677979,0.00062729,0.72059294,0.06458332,-0.68171752,0.10879356
1759198435471,0.01928528,0.05534853,0.01487558,-0.00619211,0.00064756,-0.01151090,0.72066854,0.06442202,-0.68170065,0.10849370
1759198435505,0.01424556,0.18335231,0.08578715,0.02052490,0.00020744,0.00548453,0.72062668,0.06476991,-0.68169713,0.10858666
1759198435565,-0.03526095,-0.07846885,-0.04215176,-0.00263007,-0.00254076,0.00088697,0.72055753,0.06469088,-0.68177348,0.10861332
1759198435585,-0.01580884,-0.01513145,-0.24194769,0.03459495,0.00035985,0.04366603,0.72046290,0.06504029,-0.68176985,0.10905434
