UnixTime(ms),ViewIndex,Eye,EyePosX,EyePosY,EyePosZ,EyeOrientX,EyeOrientY,EyeOrientZ,EyeOrientW
1761619728279,0,left,-0.02841035,1.47857393,-0.00461802,0.09917358,-0.01362839,0.07396727,0.99222362
1761619728279,1,right,0.03570596,1.48791758,-0.00191274,0.09917358,-0.01362839,0.07396727,0.99222362
1761619728312,0,left,-0.02974878,1.47843131,-0.00472004,0.09904387,-0.01399511,0.07388687,0.99223746
1761619728312,1,right,0.03763186,1.48823519,-0.00182980,0.09904387,-0.01399511,0.07388687,0.99223746
1761619728318,0,left,-0.02952030,1.47844549,-0.00474076,0.09889491,-0.01429394,0.07378996,0.99225527
1761619728318,1,right,0.03786114,1.48823270,-0.00181288,0.09889491,-0.01429394,0.07378996,0.99225527
1761619728322,0,left,-0.02942340,1.47845655,-0.00472100,0.09879246,-0.01435223,0.07374235,0.99226817
1761619728322,1,right,0.03795879,1.48823687,-0.00178688,0.09879246,-0.01435223,0.07374235,0.99226817
1761619728334,0,left,-0.02931238,1.47844212,-0.00471045,0.09857660,-0.01447368,0.07366324,0.99229375
1761619728334,1,right,0.03807092,1.48821079,-0.00176309,0.09857660,-0.01447368,0.07366324,0.99229375
1761619728345,0,left,-0.02920168,1.47842969,-0.00467672,0.09847574,-0.01458538,0.07355285,0.99231032
1761619728345,1,right,0.03818338,1.48818229,-0.00171671,0.09847574,-0.01458538,0.07355285,0.99231032
1761619728356,0,left,-0.02910340,1.47844371,-0.00464012,0.09838903,-0.01476798,0.07342675,0.99232556
1761619728356,1,right,0.03828347,1.48817713,-0.00165795,0.09838903,-0.01476798,0.07342675,0.99232556
1761619728367,0,left,-0.02901482,1.47850665,-0.00456884,0.09837020,-0.01499972,0.07327266,0.99233534
1761619728367,1,right,0.03837418,1.48821626,-0.00155756,0.09837020,-0.01499972,0.07327266,0.99233534
1761619728379,0,left,-0.02891895,1.47855824,-0.00449635,0.09837004,-0.01520553,0.07318538,0.99233867
1761619728379,1,right,0.03847095,1.48825332,-0.00145839,0.09837004,-0.01520553,0.07318538,0.99233867
1761619728391,0,left,-0.02884204,1.47859925,-0.00443003,0.09834306,-0.01544801,0.07310028,0.99234387
1761619728391,1,right,0.03854854,1.48827967,-0.00136068,0.09834306,-0.01544801,0.07310028,0.99234387
1761619728401,0,left,-0.02876811,1.47860009,-0.00435916,0.09828912,-0.01558653,0.07312080,0.99234553
1761619728401,1,right,0.03862147,1.48828156,-0.00127133,0.09828912,-0.01558653,0.07312080,0.99234553
1761619728413,0,left,-0.02871110,1.47859901,-0.00429885,0.09836184,-0.01569989,0.07317085,0.99233285
1761619728413,1,right,0.03867699,1.48828546,-0.00119431,0.09836184,-0.01569989,0.07317085,0.99233285
1761619728424,0,left,-0.02866261,1.47860096,-0.00423632,0.09836508,-0.01581305,0.07322771,0.99232654
1761619728424,1,right,0.03872388,1.48829351,-0.00111570,0.09836508,-0.01581305,0.07322771,0.99232654
1761619728435,0,left,-0.02863495,1.47857690,-0.00417554,0.09838984,-0.01594955,0.07329391,0.99231701
1761619728435,1,right,0.03874962,1.48827643,-0.00103534,0.09838984,-0.01594955,0.07329391,0.99231701
1761619728446,0,left,-0.02864950,1.47850012,-0.00408197,0.09840539,-0.01602620,0.07334792,0.99231025
1761619728446,1,right,0.03873365,1.48820582,-0.00093054,0.09840539,-0.01602620,0.07334792,0.99231025
1761619728457,0,left,-0.02867019,1.47842597,-0.00399621,0.09842867,-0.01610920,0.07335854,0.99230581
1761619728457,1,right,0.03871238,1.48813190,-0.00083319,0.09842867,-0.01610920,0.07335854,0.99230581
1761619728469,0,left,-0.02869387,1.47834839,-0.00390821,0.09843560,-0.01618004,0.07345448,0.99229687
1761619728469,1,right,0.03868646,1.48806623,-0.00073427,0.09843560,-0.01618004,0.07345448,0.99229687
1761619728480,0,left,-0.02868818,1.47833261,-0.00382027,0.09837573,-0.01617217,0.07354782,0.99229602
1761619728480,1,right,0.03869032,1.48806331,-0.00064674,0.09837573,-0.01617217,0.07354782,0.99229602
1761619728491,0,left,-0.02869612,1.47832169,-0.00374145,0.09832486,-0.01616025,0.07361458,0.99229631
1761619728491,1,right,0.03868109,1.48806169,-0.00056915,0.09832486,-0.01616025,0.07361458,0.99229631
1761619728502,0,left,-0.02872263,1.47828343,-0.00368144,0.09824119,-0.01606470,0.07365469,0.99230317
1761619728502,1,right,0.03865420,1.48803039,-0.00052235,0.09824119,-0.01606470,0.07365469,0.99230317
1761619728514,0,left,-0.02875208,1.47823276,-0.00363765,0.09814042,-0.01598564,0.07368350,0.99231228
1761619728514,1,right,0.03862452,1.48798499,-0.00048986,0.09814042,-0.01598564,0.07368350,0.99231228
1761619728524,0,left,-0.02877461,1.47817736,-0.00358507,0.09803895,-0.01589638,0.07364390,0.99232668
1761619728524,1,right,0.03860318,1.48792579,-0.00045087,0.09803895,-0.01589638,0.07364390,0.99232668
1761619728538,0,left,-0.02877282,1.47815639,-0.00350100,0.09790811,-0.01582792,0.07355189,0.99234752
1761619728538,1,right,0.03860711,1.48789378,-0.00037855,0.09790811,-0.01582792,0.07355189,0.99234752
1761619728546,0,left,-0.02876558,1.47814483,-0.00341991,0.09778430,-0.01577812,0.07342790,0.99236970
1761619728546,1,right,0.03861704,1.48786661,-0.00030705,0.09778430,-0.01577812,0.07342790,0.99236970
1761619728557,0,left,-0.02875320,1.47812571,-0.00335316,0.09778334,-0.01578784,0.07332981,0.99237690
1761619728557,1,right,0.03863135,1.48783416,-0.00024028,0.09778334,-0.01578784,0.07332981,0.99237690
1761619728568,0,left,-0.02872679,1.47814146,-0.00328441,0.09770726,-0.01575646,0.07311562,0.99240069
1761619728568,1,right,0.03866217,1.48782175,-0.00017934,0.09770726,-0.01575646,0.07311562,0.99240069
1761619728579,0,left,-0.02868578,1.47815431,-0.00322001,0.09764196,-0.01571998,0.07302833,0.99241412
1761619728579,1,right,0.03870508,1.48782356,-0.00012166,0.09764196,-0.01571998,0.07302833,0.99241412
1761619728590,0,left,-0.02863241,1.47817338,-0.00316355,0.09749795,-0.01570395,0.07283506,0.99244274
1761619728590,1,right,0.03876234,1.48781729,-0.00007131,0.09749795,-0.01570395,0.07283506,0.99244274
1761619728602,0,left,-0.02861170,1.47816559,-0.00311897,0.09737209,-0.01572403,0.07261209,0.99247112
1761619728602,1,right,0.03878740,1.48777963,-0.00002816,0.09737209,-0.01572403,0.07261209,0.99247112
1761619728613,0,left,-0.02858363,1.47814437,-0.00307595,0.09723746,-0.01576182,0.07245196,0.99249542
1761619728613,1,right,0.03881846,1.48773676,0.00001657,0.09723746,-0.01576182,0.07245196,0.99249542
1761619728624,0,left,-0.02856313,1.47818445,-0.00305075,0.09722605,-0.01579967,0.07229877,0.99250710
1761619728624,1,right,0.03884183,1.48775576,0.00004477,0.09722605,-0.01579967,0.07229877,0.99250710
1761619728635,0,left,-0.02853720,1.47827118,-0.00303201,0.09713860,-0.01581881,0.07221591,0.99252140
1761619728635,1,right,0.03886931,1.48783136,0.00006417,0.09713860,-0.01581881,0.07221591,0.99252140
1761619728647,0,left,-0.02850887,1.47835805,-0.00302827,0.09716971,-0.01582042,0.07218781,0.99252037
1761619728647,1,right,0.03889820,1.48791433,0.00006806,0.09716971,-0.01582042,0.07218781,0.99252037
1761619728658,0,left,-0.02847539,1.47839603,-0.00300695,0.09712200,-0.01585618,0.07209271,0.99253138
1761619728658,1,right,0.03893338,1.48793919,0.00009252,0.09712200,-0.01585618,0.07209271,0.99253138
1761619728669,0,left,-0.02844210,1.47839032,-0.00297510,0.09693442,-0.01593697,0.07206617,0.99255035
1761619728669,1,right,0.03896685,1.48792941,0.00013315,0.09693442,-0.01593697,0.07206617,0.99255035
1761619728680,0,left,-0.02840230,1.47837352,-0.00294221,0.09681947,-0.01594091,0.07203962,0.99256343
1761619728680,1,right,0.03900715,1.48790934,0.00016511,0.09681947,-0.01594091,0.07203962,0.99256343
1761619728691,0,left,-0.02837585,1.47833460,-0.00293765,0.09680865,-0.01604825,0.07198913,0.99256642
1761619728691,1,right,0.03903412,1.48786223,0.00018343,0.09680865,-0.01604825,0.07198913,0.99256642
1761619728702,0,left,-0.02836451,1.47830732,-0.00292169,0.09673326,-0.01611140,0.07186759,0.99258156
1761619728702,1,right,0.03904757,1.48781799,0.00020563,0.09673326,-0.01611140,0.07186759,0.99258156
1761619728714,0,left,-0.02835384,1.47828830,-0.00293618,0.09678703,-0.01613247,0.07178396,0.99258203
1761619728714,1,right,0.03905978,1.48778726,0.00019341,0.09678703,-0.01613247,0.07178396,0.99258203
1761619728725,0,left,-0.02833981,1.47829834,-0.00296701,0.09688402,-0.01619056,0.07174298,0.99257458
1761619728725,1,right,0.03907436,1.48779070,0.00017083,0.09688402,-0.01619056,0.07174298,0.99257458
1761619728736,0,left,-0.02831653,1.47831768,-0.00299121,0.09696389,-0.01619125,0.07158728,0.99257801
1761619728736,1,right,0.03910068,1.48778882,0.00014545,0.09696389,-0.01619125,0.07158728,0.99257801
1761619728747,0,left,-0.02829536,1.47833623,-0.00301896,0.09676498,-0.01623872,0.07139994,0.99261014
1761619728747,1,right,0.03912529,1.48778215,0.00011979,0.09676498,-0.01623872,0.07139994,0.99261014
1761619728758,0,left,-0.02827897,1.47832193,-0.00302608,0.09648613,-0.01628778,0.07130968,0.99264297
1761619728758,1,right,0.03914322,1.48775594,0.00011547,0.09648613,-0.01628778,0.07130968,0.99264297
1761619728769,0,left,-0.02825999,1.47828386,-0.00302213,0.09619846,-0.01636499,0.07128203,0.99267161
1761619728769,1,right,0.03916239,1.48771403,0.00012678,0.09619846,-0.01636499,0.07128203,0.99267161
1761619728781,0,left,-0.02824799,1.47825240,-0.00299481,0.09587383,-0.01635406,0.07124403,0.99270592
1761619728781,1,right,0.03917519,1.48767862,0.00014905,0.09587383,-0.01635406,0.07124403,0.99270592
1761619728792,0,left,-0.02824022,1.47821749,-0.00299157,0.09562264,-0.01637953,0.07125119,0.99272921
1761619728792,1,right,0.03918268,1.48764514,0.00015344,0.09562264,-0.01637953,0.07125119,0.99272921
1761619728803,0,left,-0.02823103,1.47819051,-0.00297670,0.09540652,-0.01637545,0.07121750,0.99275249
1761619728803,1,right,0.03919256,1.48761436,0.00016527,0.09540652,-0.01637545,0.07121750,0.99275249
1761619728814,0,left,-0.02821827,1.47817039,-0.00298807,0.09524381,-0.01649785,0.07122436,0.99276560
1761619728814,1,right,0.03920460,1.48759407,0.00016901,0.09524381,-0.01649785,0.07122436,0.99276560
1761619728825,0,left,-0.02820233,1.47816614,-0.00299490,0.09515432,-0.01661018,0.07117202,0.99277606
1761619728825,1,right,0.03922108,1.48758159,0.00017584,0.09515432,-0.01661018,0.07117202,0.99277606
1761619728837,0,left,-0.02819333,1.47816448,-0.00300106,0.09511531,-0.01679796,0.07107259,0.99278376
1761619728837,1,right,0.03923116,1.48756419,0.00019345,0.09511531,-0.01679796,0.07107259,0.99278376
1761619728869,0,left,-0.02814775,1.47804598,-0.00304256,0.09503947,-0.01701004,0.07119901,0.99277835
1761619728869,1,right,0.03927331,1.48746017,0.00018154,0.09503947,-0.01701004,0.07119901,0.99277835
1761619728881,0,left,-0.02811712,1.47795186,-0.00307126,0.09501364,-0.01706022,0.07129750,0.99277290
1761619728881,1,right,0.03930181,1.48737875,0.00016064,0.09501364,-0.01706022,0.07129750,0.99277290
1761619728893,0,left,-0.02811160,1.47789310,-0.00310012,0.09496415,-0.01711801,0.07135976,0.99277216
1761619728893,1,right,0.03930583,1.48732776,0.00013992,0.09496415,-0.01711801,0.07135976,0.99277216
1761619728905,0,left,-0.02811838,1.47783994,-0.00312095,0.09498761,-0.01719213,0.07142952,0.99276362
1761619728905,1,right,0.03929735,1.48728295,0.00013023,0.09498761,-0.01719213,0.07142952,0.99276362
1761619728917,0,left,-0.02812145,1.47779891,-0.00314529,0.09491766,-0.01726926,0.07148828,0.99276474
1761619728917,1,right,0.03929279,1.48724904,0.00011642,0.09491766,-0.01726926,0.07148828,0.99276474
