UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW
1757984150465,0.11512023,1.68456876,-0.01901400,0.08789048,-0.00039227,0.04189351,0.99524873
1757984150473,0.11512205,1.68449799,-0.01877284,0.08813213,-0.00051528,0.04206586,0.99522004
1757984150474,0.11513233,1.68445400,-0.01866579,0.08811418,-0.00055491,0.04216163,0.99521755
1757984150485,0.11514705,1.68439474,-0.01854062,0.08810548,-0.00064765,0.04228767,0.99521292
1757984150497,0.11514860,1.68439819,-0.01841402,0.08811357,-0.00072192,0.04231335,0.99521106
1757984150508,0.11515656,1.68439891,-0.01829422,0.08803340,-0.00079082,0.04244475,0.99521251
1757984150520,0.11516160,1.68439390,-0.01819265,0.08793669,-0.00090173,0.04252712,0.99521745
1757984150540,0.11516494,1.68439308,-0.01809549,0.08777626,-0.00094541,0.04259915,0.99522849
1757984150542,0.11516756,1.68439701,-0.01800513,0.08773566,-0.00099848,0.04271644,0.99522699
1757984150553,0.11519790,1.68438761,-0.01789594,0.08779266,-0.00103661,0.04277091,0.99521959
1757984150574,0.11527723,1.68433514,-0.01773262,0.08784333,-0.00112002,0.04274786,0.99521601
1757984150576,0.11535850,1.68429077,-0.01756930,0.08778834,-0.00114012,0.04278697,0.99521916
1757984150586,0.11541089,1.68425520,-0.01744151,0.08772885,-0.00122555,0.04291815,0.99521866
1757984150597,0.11542851,1.68424500,-0.01734161,0.08769416,-0.00131006,0.04301282,0.99521752
1757984150609,0.11545262,1.68425388,-0.01725447,0.08774064,-0.00130825,0.04309434,0.99520990
1757984150620,0.11547953,1.68426679,-0.01718926,0.08806537,-0.00128369,0.04322871,0.99517542
1757984150641,0.11549678,1.68428466,-0.01712501,0.08810916,-0.00133099,0.04315812,0.99517455
1757984150642,0.11551321,1.68427627,-0.01705945,0.08811162,-0.00132847,0.04295858,0.99518297
1757984150653,0.11556202,1.68424947,-0.01697993,0.08793507,-0.00128836,0.04281999,0.99520461
1757984150674,0.11564356,1.68422045,-0.01689184,0.08774364,-0.00128654,0.04283056,0.99522105
1757984150675,0.11572799,1.68419656,-0.01680684,0.08763905,-0.00128677,0.04285221,0.99522934
1757984150687,0.11580116,1.68418376,-0.01671767,0.08756000,-0.00121601,0.04293451,0.99523284
1757984150724,0.11583996,1.68418066,-0.01664150,0.08750936,-0.00126886,0.04302122,0.99523348
1757984150758,0.11597949,1.68414696,-0.01643360,0.08735446,-0.00156035,0.04296368,0.99524916
1757984150789,0.11619914,1.68409065,-0.01608455,0.08712167,-0.00171848,0.04304565,0.99526576
1757984150809,0.11641747,1.68408762,-0.01577330,0.08759823,-0.00150607,0.04311386,0.99522132
1757984150819,0.11655653,1.68410280,-0.01561689,0.08782885,-0.00122643,0.04287987,0.99521149
1757984150843,0.11668462,1.68407840,-0.01548994,0.08777141,-0.00112539,0.04251543,0.99523231
1757984150875,0.11683512,1.68406153,-0.01538074,0.08769584,-0.00091857,0.04240511,0.99524389
1757984150876,0.11704630,1.68406982,-0.01523781,0.08785495,-0.00082490,0.04215068,0.99524075
1757984150920,0.11722857,1.68407087,-0.01511252,0.08806591,-0.00076412,0.04183354,0.99523553
1757984150944,0.11750469,1.68406279,-0.01491845,0.08820155,-0.00095157,0.04156172,0.99523475
1757984150965,0.11777842,1.68406441,-0.01475501,0.08836687,-0.00093696,0.04134939,0.99522894
1757984150975,0.11797839,1.68405519,-0.01465225,0.08846227,-0.00066645,0.04109082,0.99523139
1757984151020,0.11809987,1.68402899,-0.01456773,0.08828641,-0.00048298,0.04085755,0.99525672
1757984151031,0.11834288,1.68395135,-0.01439893,0.08801473,-0.00010438,0.04047282,0.99529661
1757984151066,0.11850762,1.68393148,-0.01427746,0.08782867,0.00028661,0.04050323,0.99531178
1757984151100,0.11856604,1.68401710,-0.01427519,0.08815475,0.00082646,0.04041907,0.99528607
1757984151134,0.11866871,1.68402682,-0.01417542,0.08771129,0.00133755,0.04024723,0.99533165
1757984151168,0.11879385,1.68404615,-0.01410925,0.08833837,0.00217956,0.04023060,0.99527538
1757984151182,0.11892909,1.68416197,-0.01419556,0.08886387,0.00285525,0.03956428,0.99525360
1757984151215,0.11901963,1.68413780,-0.01423109,0.08848092,0.00343180,0.03955054,0.99528644
1757984151225,0.11906183,1.68404478,-0.01426768,0.08815220,0.00356986,0.03966484,0.99531058
1757984151252,0.11907712,1.68402833,-0.01433420,0.08832985,0.00372227,0.03940355,0.99530465
1757984151274,0.11903799,1.68400411,-0.01439142,0.08843594,0.00383198,0.03952559,0.99528997
1757984151285,0.11901349,1.68396199,-0.01443195,0.08845806,0.00408860,0.03965921,0.99528167
1757984151295,0.11900371,1.68390161,-0.01447248,0.08837057,0.00428289,0.03977777,0.99528389
1757984151311,0.11899421,1.68384279,-0.01451051,0.08824190,0.00447104,0.03981385,0.99529304
1757984151345,0.11897546,1.68380919,-0.01455057,0.08812904,0.00466105,0.03981410,0.99530216
1757984151346,0.11893529,1.68376415,-0.01466835,0.08814950,0.00515128,0.03956820,0.99530773
1757984151369,0.11895472,1.68379450,-0.01471615,0.08823224,0.00536612,0.03941364,0.99530540
1757984151379,0.11899528,1.68382825,-0.01475751,0.08837151,0.00558093,0.03938475,0.99529301
1757984151425,0.11899525,1.68383294,-0.01478434,0.08831348,0.00559781,0.03939328,0.99529773
1757984151457,0.11897281,1.68374889,-0.01485932,0.08803116,0.00568797,0.03946103,0.99531954
1757984151489,0.11888480,1.68368116,-0.01485622,0.08745018,0.00582466,0.03980854,0.99535613
1757984151499,0.11874771,1.68371487,-0.01479948,0.08701513,0.00620854,0.04030512,0.99537195
1757984151543,0.11863458,1.68363097,-0.01474798,0.08638491,0.00679945,0.04054918,0.99541307
1757984151555,0.11847302,1.68347709,-0.01463532,0.08508709,0.00731193,0.04056001,0.99552077
1757984151588,0.11836684,1.68333536,-0.01454270,0.08447700,0.00742437,0.04086142,0.99555957
1757984151610,0.11830729,1.68326154,-0.01445413,0.08453718,0.00729491,0.04111928,0.99554480
1757984151621,0.11825526,1.68321253,-0.01433039,0.08431450,0.00739162,0.04146279,0.99554873
1757984151643,0.11819935,1.68316182,-0.01423872,0.08432768,0.00775257,0.04175008,0.99553286
1757984151667,0.11813301,1.68318607,-0.01424491,0.08473053,0.00806707,0.04193617,0.99548833
1757984151689,0.11806813,1.68323610,-0.01434743,0.08496799,0.00833261,0.04165343,0.99547778
1757984151723,0.11800194,1.68326786,-0.01434660,0.08443881,0.00874181,0.04140069,0.99552983
1757984151746,0.11785495,1.68322896,-0.01408732,0.08389641,0.00954903,0.04189667,0.99554753
1757984151782,0.11781567,1.68322610,-0.01393926,0.08405831,0.00964437,0.04174653,0.99553926
1757984151812,0.11773241,1.68326194,-0.01370358,0.08413657,0.00977651,0.04226377,0.99550953
1757984151833,0.11763862,1.68326285,-0.01359069,0.08397090,0.01011496,0.04293382,0.99549147
1757984151857,0.11753345,1.68327112,-0.01360619,0.08424716,0.01045100,0.04314012,0.99545574
1757984151889,0.11743861,1.68327758,-0.01370919,0.08454030,0.01086446,0.04310861,0.99542782
1757984151912,0.11733365,1.68325502,-0.01384103,0.08465624,0.01123198,0.04353383,0.99539538
1757984151946,0.11720449,1.68319537,-0.01399660,0.08443580,0.01172818,0.04392144,0.99539136
1757984151967,0.11703357,1.68300800,-0.01436245,0.08355121,0.01223011,0.04448838,0.99543478
1757984151990,0.11694372,1.68288226,-0.01451623,0.08332754,0.01228235,0.04482257,0.99543789
1757984152022,0.11691728,1.68276952,-0.01474059,0.08282579,0.01217922,0.04498719,0.99547361
1757984152034,0.11695069,1.68264806,-0.01498532,0.08224024,0.01192168,0.04506131,0.99552192
1757984152067,0.11703292,1.68253604,-0.01521611,0.08179740,0.01155965,0.04505742,0.99556285
1757984152079,0.11708176,1.68240453,-0.01542008,0.08129929,0.01125172,0.04514914,0.99560302
1757984152113,0.11714417,1.68225591,-0.01561677,0.08088899,0.01086018,0.04515119,0.99564070
1757984152135,0.11726350,1.68210203,-0.01579118,0.08008018,0.01049823,0.04485284,0.99572344
1757984152145,0.11737287,1.68195171,-0.01598430,0.07937283,0.01024698,0.04498881,0.99577656
1757984152167,0.11745161,1.68185309,-0.01624942,0.07897111,0.01027214,0.04504366,0.99580576
1757984152189,0.11750931,1.68175976,-0.01658440,0.07822946,0.01034029,0.04491350,0.99586947
1757984152201,0.11756393,1.68165060,-0.01680088,0.07723393,0.01038110,0.04453183,0.99596389
1757984152235,0.11762667,1.68151050,-0.01700771,0.07617420,0.01030827,0.04439106,0.99605254
1757984152246,0.11780781,1.68116530,-0.01746011,0.07454306,0.01023610,0.04381015,0.99620240
1757984152278,0.11801359,1.68095624,-0.01783705,0.07363165,0.00970357,0.04364532,0.99628274
1757984152290,0.11819643,1.68087402,-0.01821578,0.07286122,0.00917840,0.04353629,0.99634913
1757984152312,0.11840814,1.68075196,-0.01857710,0.07214952,0.00887262,0.04361893,0.99640008
1757984152334,0.11855537,1.68065908,-0.01879323,0.07164237,0.00866252,0.04353801,0.99644206
1757984152345,0.11874533,1.68053691,-0.01905930,0.07089648,0.00839745,0.04339849,0.99650376
1757984152357,0.11888397,1.68046722,-0.01925015,0.07056882,0.00824811,0.04337331,0.99652936
1757984152390,0.11901140,1.68045381,-0.01941800,0.07019783,0.00814965,0.04322876,0.99656265
1757984152400,0.11929232,1.68039876,-0.01977253,0.06940882,0.00802548,0.04305628,0.99662639
1757984152434,0.11942780,1.68036545,-0.01995039,0.06932484,0.00790060,0.04302412,0.99663462
1757984152457,0.11967197,1.68037974,-0.02029550,0.06946588,0.00771090,0.04306593,0.99662448
1757984152496,0.11982381,1.68038020,-0.02050459,0.06972517,0.00768580,0.04288438,0.99661440
1757984152526,0.12002853,1.68039484,-0.02057695,0.07072735,0.00793544,0.04307637,0.99653354
1757984152546,0.12015367,1.68062331,-0.02074659,0.07190943,0.00844278,0.04355457,0.99642398
1757984152582,0.12026161,1.68073056,-0.02090645,0.07236881,0.00883300,0.04366096,0.99638268
1757984152613,0.12048912,1.68077957,-0.02125716,0.07251032,0.00906333,0.04350245,0.99637726
1757984152635,0.12071598,1.68072283,-0.02172124,0.07273177,0.00879464,0.04331973,0.99637149
1757984152658,0.12091070,1.68064121,-0.02212572,0.07228618,0.00848070,0.04334327,0.99640561
1757984152702,0.12109330,1.68058714,-0.02257788,0.07196791,0.00818227,0.04316578,0.99643885
1757984152723,0.12140799,1.68035135,-0.02362263,0.07032724,0.00771970,0.04210689,0.99660498
1757984152746,0.12152803,1.68023461,-0.02410853,0.06938539,0.00771674,0.04188239,0.99668048
1757984152768,0.12168664,1.68011446,-0.02458382,0.06919051,0.00767379,0.04188075,0.99669443
1757984152791,0.12172991,1.68005405,-0.02488732,0.06920832,0.00756963,0.04181823,0.99669662
1757984152802,0.12179178,1.68000432,-0.02528715,0.06910505,0.00779200,0.04194988,0.99669654
1757984152836,0.12180534,1.67994413,-0.02560329,0.06903103,0.00803861,0.04217045,0.99669040
1757984152869,0.12187675,1.67987601,-0.02621555,0.06897193,0.00852039,0.04234486,0.99668309
1757984152891,0.12186322,1.67991746,-0.02701366,0.06924715,0.00932330,0.04233432,0.99665727
1757984152924,0.12188017,1.67991806,-0.02765775,0.06899503,0.01003596,0.04221709,0.99667281
1757984152935,0.12192571,1.67996781,-0.02812135,0.06934180,0.01025882,0.04219572,0.99664738
1757984152958,0.12197480,1.67999960,-0.02859545,0.06991236,0.01052431,0.04221151,0.99660408
1757984152981,0.12205195,1.67995549,-0.02906907,0.07002471,0.01077320,0.04229767,0.99658988
1757984152991,0.12211299,1.67997183,-0.02938807,0.07006235,0.01092582,0.04231769,0.99658472
1757984153023,0.12219274,1.68003642,-0.02981055,0.07048310,0.01101634,0.04217493,0.99656011
1757984153047,0.12229615,1.68008670,-0.03033745,0.07099314,0.01111399,0.04199101,0.99653059
1757984153058,0.12238649,1.68002527,-0.03087747,0.07105262,0.01120568,0.04190150,0.99652909
1757984153093,0.12248507,1.68001460,-0.03122556,0.07092456,0.01116452,0.04181386,0.99654235
1757984153126,0.12264803,1.68005405,-0.03199530,0.07103957,0.01098919,0.04160185,0.99654498
1757984153169,0.12278885,1.67994547,-0.03308702,0.07152231,0.01082271,0.04168701,0.99650872
1757984153192,0.12300617,1.68000070,-0.03413892,0.07177694,0.01074445,0.04215654,0.99647150
1757984153235,0.12301964,1.67995775,-0.03480935,0.07247483,0.01086807,0.04182623,0.99643357
1757984153270,0.12314010,1.67987403,-0.03571022,0.07224311,0.01071180,0.04156538,0.99646300
1757984153280,0.12301016,1.67975596,-0.03667557,0.07253755,0.01039901,0.04162984,0.99644223
1757984153326,0.12294462,1.67954923,-0.03738368,0.07212287,0.01018852,0.04182159,0.99646648
1757984153371,0.12292814,1.67945900,-0.03781879,0.07149466,0.01009435,0.04210683,0.99650069
1757984153405,0.12291086,1.67941245,-0.03857350,0.07100441,0.01048581,0.04224978,0.99652565
1757984153437,0.12281168,1.67946493,-0.03902972,0.07086366,0.01050853,0.04202438,0.99654496
1757984153473,0.12268165,1.67958751,-0.03946197,0.07142379,0.01060342,0.04202426,0.99650397
1757984153508,0.12251610,1.67948730,-0.03973544,0.07152466,0.01038564,0.04198373,0.99650074
1757984153555,0.12233743,1.67954084,-0.04010582,0.07257580,0.01019006,0.04216393,0.99641915
1757984153586,0.12195125,1.67941403,-0.04065180,0.07247802,0.01050182,0.04194191,0.99643240
1757984153630,0.12163579,1.67944873,-0.04099953,0.07305325,0.01001813,0.04181739,0.99640060
1757984153664,0.12139726,1.67948138,-0.04130900,0.07347981,0.00950409,0.04173959,0.99637754
1757984153727,0.12110716,1.67958521,-0.04149926,0.07378572,0.00900209,0.04220380,0.99634004
1757984153765,0.12069073,1.67974724,-0.04198337,0.07442185,0.00910875,0.04221153,0.99629143
1757984153803,0.12084001,1.67990146,-0.04236114,0.07421925,0.00897701,0.04272588,0.99628581
1757984153854,0.12108031,1.67994004,-0.04270875,0.07368549,0.00876580,0.04272545,0.99632733
1757984153917,0.12155455,1.67978420,-0.04322624,0.07310156,0.00922030,0.04318853,0.99634627
